Video #,Inside Zone,Outside Zone,Gap,Classification
164,TRUE,FALSE,FALSE,Inside Zone
165,TRUE,FALSE,FALSE,Inside Zone
166,TRUE,FALSE,FALSE,Inside Zone
167,TRUE,FALSE,FALSE,Inside Zone
168,TRUE,FALSE,FALSE,Inside Zone
169,TRUE,FALSE,FALSE,Inside Zone
170,TRUE,FALSE,FALSE,Inside Zone
171,TRUE,FALSE,FALSE,Inside Zone
172,TRUE,FALSE,FALSE,Inside Zone
173,TRUE,FALSE,FALSE,Inside Zone
174,TRUE,FALSE,FALSE,Inside Zone
175,TRUE,FALSE,FALSE,Inside Zone
176,TRUE,FALSE,FALSE,Inside Zone
177,TRUE,FALSE,FALSE,Inside Zone
178,TRUE,FALSE,FALSE,Inside Zone
179,FALSE,TRUE,FALSE,Outside Zone
180,FALSE,TRUE,FALSE,Outside Zone
181,TRUE,FALSE,FALSE,Inside Zone
182,TRUE,FALSE,FALSE,Inside Zone
183,TRUE,FALSE,FALSE,Inside Zone
184,TRUE,FALSE,FALSE,Inside Zone
185,FALSE,TRUE,FALSE,Outside Zone
186,FALSE,TRUE,FALSE,Outside Zone
187,FALSE,TRUE,FALSE,Outside Zone
188,FALSE,TRUE,FALSE,Outside Zone
189,FALSE,TRUE,FALSE,Outside Zone
190,FALSE,TRUE,FALSE,Outside Zone
191,FALSE,TRUE,FALSE,Outside Zone
192,FALSE,TRUE,FALSE,Outside Zone
193,FALSE,TRUE,FALSE,Outside Zone
194,FALSE,TRUE,FALSE,Outside Zone
195,TRUE,FALSE,FALSE,Inside Zone
196,TRUE,FALSE,FALSE,Inside Zone
197,TRUE,FALSE,FALSE,Inside Zone
198,TRUE,FALSE,FALSE,Inside Zone
