Video Name:,Outside Zone Read,,,,,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,,,,,
48,"0,ALL",-,"10,3,17,11,2","100,153,OL",-,"104,153,13","104,116,15",-,"117,126,15",-,-,-,TD,OutsideZoneStretch_132
49,"0,ALL",-,"13,14,17,18,19","77,125,OL",-,"82,137,12","82,100,12",-,"101,111,12",-,-,-,TD,OutsideZoneStretch_135
50,"0,ALL",-,"10,17,15,18,5","73,156,OL",-,"76,151,16","84,99,13",-,"100,107,13",-,-,-,TD,OutsideZoneStretch_136
51,"0,ALL",-,"4,9,15,12,2","153,201,OL",-,"165,288,21","165,176,12",-,"177,189,12",-,-,-,Tac,OutsideZoneStretch_142
52,"0,ALL",-,"19,20,18,17,11","98,146,OL",-,"111,188,5","111,121,8",-,"122,130,8",-,-,-,Tac,OutsideZoneStretch_143
53,"0,ALL",-,"4,14,19,6,15","191,244,OL",-,"200,255,2","203,213,7",-,"241,227,7",-,-,-,OOB,OutsideZoneStretch_148
54,"0,ALL",-,"17,21,16,20,7","186,234,OL",-,"187,257,10","190,204,4",-,"205,214,4",-,-,-,OOB,OutsideZoneStretch_149
55,"0,ALL",-,"19,20,17,8,12","119,160,OL",-,"125,160,11","127,137,21",-,"140,147,21",-,-,-,Tac,OutsideZoneStretch_161
56,"0,ALL",-,"4,14,3,5,1","67,111,OL",-,"72,111,2","77,90,3",-,"91,99,13",-,-,-,Tac,OutsideZoneStretch_162
57,"0,ALL",-,"1,20,16,17,18","115,154,OL",-,"125,156,8","129,138,10",-,"139,145,19",-,-,-,TD,OutsideZoneStretch_163
58,"0,ALL",-,"11,8,13,10,5","120,160,OL",-,"130,161,7","128,135,9",-,"136,148,9",-,-,-,TD,OutsideZoneStretch_164
59,"0,ALL",-,"6,17,20,21,12","85,98,OL",-,"43,77,7","43,57,19",-,"58,68,19",-,-,-,TD,OutsideZoneStretch_165
60,"0,ALL",-,"2,0,11,6,3","39,78,OL",-,"42,74,5","42,50,8",-,"51,64,8",-,-,-,TD,OutsideZoneStretch_166
61,"0,ALL",-,"2,7,13,7,2","67,118,OL",-,"70,127,8","82,88,12",-,"85,102,12",-,-,-,OOB,OutsideZoneStretch_171
62,"0,ALL",-,"4,2,14,10,3","98,139,OL",-,"90,162,5","93,105,9",-,"106,118,9",-,-,-,OOB,OutsideZoneStretch_172
63,"0,ALL",-,"22,20,9,18,19","182,229,OL",-,"185,239,7","193,205,14",-,"206,216,14",-,-,-,Tac,OutsideZoneStretch_173
64,"0,ALL",-,"0,12,6,10,2","170,204,OL",-,"174,230,3","183,189,4",-,"190,199,4",-,-,-,Tac,OutsideZoneStretch_174
65,"0,ALL",-,"20,17,19,22,15","130,179,OL",-,"136,183,6","141,149,18",-,"150,161,18",-,-,-,TD,OutsideZoneStretch_175
66,"0,ALL",-,"14,6,10,0,3","67,113,OL",-,"70,127,8","81,89,4",-,"90,98,4",-,-,-,TD,OutsideZoneStretch_176
67,"0,ALL",-,"15,12,19,21,18","143,189,OL",-,"147,194,13","150,168,17",-,"169,173,17",-,-,-,OOB,OutsideZoneStretch_187
68,"0,ALL",-,"5,12,11,3,10","134,174,OL",-,"135,191,8","146,154,9",-,"155,165,9",-,-,-,OOB,OutsideZoneStretch_188
69,"0,ALL",-,"15,22,20,12,5","170,172,OL",-,"133,172,11","138,147,19",-,"148,160,19",-,-,-,Tac,OutsideZoneStretch_195
70,"0,ALL",-,"7,5,6,4,1","189,278,OL",-,"193,228,7","198,209,9",-,"210,220,7",-,-,-,Tac,OutsideZoneStretch_196
71,"0,ALL",-,"20,21,9,17,7","132,177,OL",-,"140,174,2","148,157,19",-,"158,165,19",-,-,-,Tac,OutsideZoneStretch_197
72,"0,ALL",-,"0,13,5,11,10","99,143,OL",-,"106,143,6","108,113,3",-,"116,130,3",-,-,-,Tac,OutsideZoneStretch_198
73,"0,ALL",-,"17,20,15,19,13","193,137,OL",-,"185,159,22","211,110,6",-,"111,124,19",-,-,-,OOB,OutsideZoneStretch_206
74,"0,ALL",-,"2,6,14,8,10","85,120,OL",-,"90,155,1","96,109,5",-,"110,118,5",-,-,-,OOB,OutsideZoneStretch_207
75,"0,ALL",-,"12,24,20,19,18","162,209,OL",-,"165,205,0","170,181,17",-,"182,193,17",-,-,-,Tac,OutsideZoneStretch_208
76,"0,ALL",-,"8,2,11,5,1","240,283,OL",-,"240,283,13","248,255,0",-,"258,268,0",-,-,-,Tac,OutsideZoneStretch_209
77,"0,ALL",-,"18,21,19,8,17","196,233,OL",-,"117,269,22","197,212,11",-,"213,219,11",-,-,-,TD,OutsideZoneStretch_214
78,"0,ALL",-,"4,16,10,13,11","186,226,OL",-,"186,255,9","191,199,5",-,"200,208,5",-,-,-,TD,OutsideZoneStretch_215
79,"0,ALL",-,"20,23,19,21,18","199,261,OL",-,"204,240,1","204,216,8",-,"217,232,8",-,-,-,Tac,OutsideZoneStretch_220
80,"0,ALL",-,"7,15,13,9,5","111,178,OL",-,"120,166,4","120,131,6",-,"138,144,6",-,-,-,Tac,OutsideZoneStretch_221
81,"0,ALL",-,"7,14,19,21,18","84,143,OL",-,"92,132,22","91,101,6",-,"102,121,6",-,-,-,Tac,OutsideZoneStretch_230
82,"0,ALL",-,"1,12,8,13,5","71,138,OL",-,"86,125,7","82,91,16",-,"92,107,6",-,-,-,Tac,OutsideZoneStretch_231
83,"0,ALL",-,"21,10,11,17,5","187,237,OL",-,"187,250,3","192,205,14",-,"206,214,14",-,-,-,TD,OutsideZoneStretch_232
84,"0,ALL",-,"5,4,12,3,1","58,110,OL",-,"65,108,2","66,81,18",-,"82,90,6",-,-,-,TD,OutsideZoneStretch_233
85,"0,ALL",-,"8,7,16,14,11","111,169,OL",-,"118,194,15","126,144,10",-,"145,154,16",-,-,-,Tac,OutsideZoneStretch_251
86,"0,ALL",-,"8,19,12,24,20","18,75,OL",-,"24,98,3","32,42,2",-,"43,58,2",-,-,-,Tac,OutsideZoneStretch_252
87,"2,ALL",-,"9,5,6,7,2","53,91,OL",-,"61,114,2","61,69,9",-,"70,78,9",-,-,-,Tac,OutsideZoneStretch_256
88,"0,ALL",-,"13,18,17,9,10","28,80,OL",-,"38,94,2","43,49,1",-,"50,62,8",-,-,-,Tac,OutsideZoneStretch_257
89,"0,ALL",-,"21,19,18,20,6","81,119,OL",-,"85,140,17","91,97,10",-,"98,111,10",-,-,-,OOB,OutsideZoneStretch_259
90,"0,ALL",-,"6,10,14,13,0","18,75,OL",-,"27,89,5","30,39,2",-,"40,55,2",-,-,-,OOB,OutsideZoneStretch_260
91,"0,ALL",-,"20,21,5,13,9","238,275,OL",-,"225,283,4","231,243,8",-,"244,257,8",-,-,-,Tac,OutsideZoneStretch_265
92,"0,ALL",-,"15,17,4,13,10","125,173,OL",-,"132,187,12","136,142,11",-,"143,155,11",-,-,-,Tac,OutsideZoneStretch_266
93,"0,ALL",-,"21,19,17,20,11","113,161,OL",-,"115,176,6","116,126,12",-,"127,141,12",-,-,-,OOB,OutsideZoneStretch_273
94,"0,ALL",-,"6,21,15,5,13","93,134,OL",-,"94,153,7","100,110,14",-,"115,122,14",-,-,-,OOB,OutsideZoneStretch_274
95,"0,ALL",-,"21,17,5,20,8","81,226,OL",-,"192,248,13","193,205,19",-,"218,19",-,-,-,OOB,OutsideZoneStretch_275
96,"0,ALL",-,"12,3,15,12,8","73,107,OL",-,"73,107,16","77,94,11",-,"107,11",-,-,-,OOB,OutsideZoneStretch_276
97,"0,ALL",-,"1,16,19,21,20","117,170,OL",-,"112,149,5","115,130,12",-,"136,172,12",-,-,-,Tac,OutsideZoneStretch_277
98,"0,ALL",-,"3,11,12,6,15","34,93,OL",-,"36,75,15","42,56,10",-,"57,66,15",-,-,-,Tac,OutsideZoneStretch_278
99,"0,ALL",-,"19,17,11,14,4","109,163,OL",-,"113,153,21","113,132,20",-,"133,143,20",-,-,-,Tac,OutsideZoneStretch_279
100,"0,ALL",-,"6,8,14,12,7","56,104,OL",-,"60,104,11","69,82,10",-,"83,93,10",-,-,-,Tac,OutsideZoneStretch_280
101,"0,ALL",-,"22,23,16,20,21","207,235,OL",-,"217,274,7","217,229,9",-,"222,233,9",-,-,-,OOB,OutsideZoneStretch_287
102,"14,ALL",-,"6,5,11,2,4","47,98,OL",-,"51,111,9","53,62,12",-,"69,79,9",-,-,-,OOB,OutsideZoneStretch_288
103,"0,ALL",-,"17,15,11","173,224,OL",-,"180,219,7","187,190,10",-,"191,206,10",-,-,-,OOB,OutsideZoneStretch_293
104,"0,ALL",-,"4,14,17,12,3","187,232,OL",-,"187,237,5","192,200,9",-,"202,214,9",-,-,-,OOB,OutsideZoneStretch_294
105,"0,ALL",-,"19,18,8,21,17","52,91,OL",-,"57,91,7","60,68,13",-,"71,77,13",-,-,-,TD,OutsideZoneStretch_295
106,"0,ALL",-,"0,7,6,3,1","35,85,OL",-,"41,85,2","45,55,8",-,"56,66,8",-,-,-,TD,OutsideZoneStretch_296
107,"0,ALL",-,"17,15,18,20,4","149,202,OL",-,"160,202,16","166,170,17",-,"184,16",-,-,-,OOB,OutsideZoneStretch_297
108,"0,ALL",-,"9,4,7,14,6","127,172,OL",-,"138,10","142,147,13",-,"166,13",-,-,-,OOB,OutsideZoneStretch_298
109,"0,ALL",-,"7,16,9,10,3","28,82,OL",-,"28,77,6","32,53,6",-,"54,75,11",-,-,-,OOB,OutsideZoneStretch_299
110,"0,ALL",-,"18,21,18,20,13","78,113,OL",-,"82,113,0","88,94,14",-,"102,14",-,-,-,OOB,OutsideZoneStretch_300
111,"0,ALL",-,"11,9,15,6,2","59,76,OL",-,"68,94,13","79,82,8",-,"91,8",-,-,-,OOB,OutsideZoneStretch_301
112,"0,ALL",-,"17,8,15,20,5","51,130,OL",-,"57,123,11","67,77,12",-,"78,92,12",-,-,-,Tac,OutsideZoneStretch_312
113,"17,ALL",-,"8,3,10,5,0","62,115,OL",-,"66,157,11","77,85,9",-,"84,101,9",-,-,-,Tac,OutsideZoneStretch_313
114,"0,ALL",-,"7,5,18,14,6","58,111,OL",-,"63,104,4","71,80,13",-,-,-,-,-,TD,OutsideZoneStretch_331
115,"20,ALL",-,"10,3,16,5,1","282,323,OL",-,"288,317,11","292,305,6",-,"306,311,11",-,-,-,Tac,OutsideZoneStretch_341
116,"0,ALL",-,"18,19,16,21,5","243,297,OL",-,"252,297,4","252,260,8",-,"261,276,8",-,-,-,Tac,OutsideZoneStretch_342
117,"0,ALL",-,"18,16,12,0,8","175,170,OL",-,"132,170,9","132,140,3",-,"141,159,3",-,-,-,Tac,OutsideZoneStretch_345
118,"0,ALL",-,"5,20,19,12,21","139,184,OL",-,"141,184,14","149,158,12",-,"157,172,12",-,-,-,Tac,OutsideZoneStretch_346
119,"0,ALL","1,20",-,"4,OL","18,11",-,"24,11","35,11",-,"46,11","30,21",70,OOB,QB_ZoneRead_1
120,"0,ALL","1,17",-,"4,OL","10,10",-,"14,10","28,10",-,"43,10","23,3",60,OOB,QB_ZoneRead_2
121,"0,ALL","2,22",-,"5,OL","16,16",-,"19,16","38,16",-,"52,16","28,20",86,Tac,QB_ZoneRead_7
122,"0,ALL","11,16",-,"14,OL","21,10",-,"31,10","46,10",-,"58,10","43,5",88,Tac,QB_ZoneRead_8
123,"0,ALL","1,15",-,"4,OL","7,17",-,"10,17","25,17",-,"34,17",-,60,Tac,QB_ZoneRead_11
124,"0,ALL","1,14",-,"4,OL","18,7",-,"23,7","36,7",-,"45,7",-,62,Tac,QB_ZoneRead_12
125,"0,ALL","10,22",-,"13,OL","24,18",-,"29,18","38,18",-,"54,18","20,20",92,Tac,QB_ZoneRead_19
126,"0,ALL","125,7",-,"128,OL","140,5",-,"147,5","150,5",-,"168,5",-,193,Tac,QB_ZoneRead_20
127,"0,ALL","3,15",-,"6,OL","18,17",-,"22,17","25,17",-,"41,17",-,64,OOB,QB_ZoneRead_31
128,"0,ALL","6,9",-,"9,OL","22,5",-,"24,5","31,5",-,"46,5",-,61,OOB,QB_ZoneRead_32
129,"0,ALL","9,13",-,"12,OL","25,22",-,"29,22","34,22",-,"58,22",-,96,Tac,QB_ZoneRead_39
130,"0,ALL","8,12",-,"11,OL","20,10",-,"24,10","28,10",-,"54,10",-,96,Tac,QB_ZoneRead_40
131,"0,ALL","9,17",-,"12,OL","26,5",-,"30,5","33,5",-,"50,5","20,17",87,OOB,QB_ZoneRead_63
132,"0,ALL","8,13",-,"11,OL","26,2",-,"31,2","36,2",-,"48,2","21,13",78,OOB,QB_ZoneRead_64
133,"0,ALL","1,17",-,"4,OL","11,15",-,"14,15","16,15",-,"57,15",-,79,OOB,QB_ZoneRead_69
134,"6,ALL","24,14",-,"27,OL","37,6",-,"44,6","53,6",-,"76,6",-,95,OOB,QB_ZoneRead_70
135,"0,ALL","24,12",-,"27,OL","38,13",-,"47,13","58,13",-,"72,13","64,12",102,Tac,QB_ZoneRead_73
136,"0,ALL","20,15",-,"23,OL","33,11",-,"37,11","47,11",-,"66,11","59,3",86,Tac,QB_ZoneRead_74
137,"0,ALL","3,12",-,"6,OL","18,17",-,"21,17","23,17",-,"42,17",-,58,Tac,QB_ZoneRead_77
138,"0,ALL","11,15",-,"14,OL","25,10",-,"29,10","32,10",-,"47,10",-,61,Tac,QB_ZoneRead_78
139,"0,ALL","3,16",-,"6,OL","17,12",-,"21,12","26,12",-,"51,12",-,68,Tac,QB_ZoneRead_87
140,"0,ALL","21,14",-,"24,OL","34,11",-,"37,11","42,11",-,"65,11",-,79,Tac,QB_ZoneRead_88
141,"0,ALL","16,20",-,"19,OL","28,10",-,"34,10","47,10",-,"70,10","43,16",84,Tac,QB_ZoneRead_105
142,"0,ALL","1,3",-,"4,OL","10,12",-,"15,12","27,12",-,"47,12","20,8",81,Tac,QB_ZoneRead_106
143,"0,ALL","35,18",-,"38,OL","48,19",-,"52,19","56,19",-,"77,19",-,99,Tac,QB_ZoneRead_109
144,"0,ALL","29,8",-,"31,OL","44,11",-,"48,11","55,11",-,"71,11",-,87,Tac,QB_ZoneRead_110
145,"0,ALL","2,18",-,"5,OL","14,15",-,"19,15","23,15",-,"43,15",-,64,OOB,QB_ZoneRead_127
146,"0,ALL","9,14",-,"12,OL","19,9",-,"25,9","29,9",-,"51,9",-,69,OOB,QB_ZoneRead_128
147,"0,ALL","4,11",-,"7,OL","17,10",-,"22,10","26,10",-,"44,10",-,83,Tac,QB_ZoneRead_139
148,"0,ALL","25,8",-,"28,OL","35,3",-,"41,3","49,3",-,"64,3",-,99,Tac,QB_ZoneRead_140
149,"0,ALL","4,13",-,"7,OL","21,11",-,"24,11","32,11",-,"51,11","30,23",96,OOB,QB_ZoneRead_147
150,"0,ALL","7,6",-,"10,OL","23,4",-,"29,4","34,4",-,"54,4","26,2",90,OOB,QB_ZoneRead_148
151,"0,ALL","19,",-,"23,OL","29,16",-,"36,16","44,16",-,"63,16",-,125,Tac,QB_ZoneRead_153
152,"0,ALL","4,12",-,"7,OL","19,3",-,"23,3","30,3",-,"55,3",-,97,Tac,QB_ZoneRead_154
153,"0,ALL","19,17",-,"22,OL","32,16",-,"41,16","47,16",-,"65,16",-,86,Tac,QB_ZoneRead_179
154,"0,ALL","7,10",-,"10,OL","20,5",-,"25,5","30,5",-,"52,5","40,7",75,Tac,QB_ZoneRead_180
155,"0,ALL","3,6",-,"6,OL","15,15",-,"22,15","25,15",-,"55,15","32,22",111,Tac,QB_ZoneRead_185
156,"0,ALL","5,13",-,"8,OL","19,6",-,"23,6","34,6",-,"59,6","33,10",113,Tac,QB_ZoneRead_186
157,"0,ALL","8,11",-,"11,OL","23,15",-,"31,15","42,15",-,"58,15",-,105,Tac,QB_ZoneRead_187
158,"0,ALL","20,14",-,"23,OL","34,10",-,"39,10","51,10",-,"68,10",-,108,Tac,QB_ZoneRead_188
159,"0,ALL","12,10",-,"15,OL","28,12",-,"31,12","38,12",-,"63,12",-,111,Tac,QB_ZoneRead_189
160,"0,ALL","6,5",-,"8,OL","24,9",-,"27,9","33,9",-,"52,9","65,5",105,Tac,QB_ZoneRead_190
161,"0,ALL","5,14",-,"8,OL","20,12",-,"24,12","33,12",-,"47,12",-,66,Tac,QB_ZoneRead_191
162,"0,ALL","2,12",-,"5,OL","19,15",-,"21,15","26,15",-,"46,15","17,14",75,Tac,QB_ZoneRead_192
163,"0,ALL","18,21",-,"21,OL","37,16",-,"40,16","42,16",-,"56,16",-,104,Tac,QB_ZoneRead_193
164,"0,ALL","28,13",-,"31,OL","40,9",-,"52,9","57,9",-,"68,9",-,118,Tac,QB_ZoneRead_194
