Video Name:,Field Goal Block,,,,,
126,"0,ALL",-,"11,19,6","32,37,3",-,"37,52,7"
127,"0,ALL",-,"32,41,10","54,60,1",-,"60,87,15"
128,"0,ALL",-,"14,29,2","40,46,1",-,"46,66,19"
129,"0,ALL",-,"17,24,15","37,45,8",-,"45,55,20"
130,"0,ALL",-,"37,48,15","59,66,3",-,"66,79,22"
131,"0,ALL",-,"48,60,8","70,76,7",-,"76,95,12"
132,"0,ALL",-,"15,29,2","37,42,0",-,"42,57,20"
133,"0,ALL",-,"36,48,8","61,64,4",-,"64,82,15"
134,"0,ALL",-,"34,46,1","56,60,0",-,"60,85,9"
135,"0,ALL",-,"12,23,3","37,42,4",-,"42,54,2"
136,"0,ALL",-,"40,51,4","64,68,5",-,"68,85,0"
137,"0,ALL",-,"24,34,9","46,51,8",-,"51,82,13"
138,"0,ALL",-,"30,41,4","53,59,0",-,"52,78,2"
