Video Name:,JetSweep_,,,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,,,
20,"0,ALL","65,19","57,14","61,OL","70,2","80,2","91,19","61,1",-,"91,12","128,OL",OOB
21,"0,ALL","24,7","37,7","42,OL","49,16","54,16","65,7","42,3",-,"72,20","114,OL",Tac
22,"0,ALL","0,11",15,"22,OL","26,10","34,16","44,16","24,15","69,4","57,6","70,OL",Tac
23,"0,ALL","54,9","75,15","77,OL","86,7","92,7","106,9","77,10",-,"98,17","144,OL",Tac
24,"0,ALL","10,9","120,14","122,OL","128,5","140,5","133,9","122,15",-,"134,11","175,OL",Tac
25,"0,ALL","12,2","44,14","53,OL","55,4","62,4","70,2","79,7",-,"53,6","109,OL",Tac
26,"0,ALL","14,17","140,9","147,OL","152,1","156,1","169,17","140,10",-,"167,5","194,OL",Tac
27,"0,ALL","17,1","62,17","70,OL","75,11","88,11","100,1","70,10",-,"100,21","137,OL",OOB
28,"0,ALL","102,16","83,5","95,OL","98,10","108,10","122,16","95,7",-,"122,5","141,OL",OOB
29,"0,ALL","46,9","74,6","78,OL","89,18","92,18","103,9","78,2",-,"105,22","148,OL",Tac
30,"0,ALL","102,20","103,18","108,OL","116,9","122,9","133,20","108,8",-,"124,18","177,OL",Tac
31,"0,ALL","13,3","48,21","49,OL","61,17","68,17","75,3","49,4",-,-,"115,OL",TD
32,"0,ALL","128,18","122,10","126,OL","135,7","142,7","151,14","126,3",-,-,"[?],OL",TD
33,"15,ALL","17,8","49,12","50,OL","62,19","68,19","77,8","50,22","50,15","28,18","141,OL",OOB
34,"0,ALL","43,2","77,21","78,OL","84,15","97,15","104,2","129,18",-,-,"140,OL",Tac
35,"0,ALL","78,17","76,14","79,OL","92,7","98,7","107,17","107,2",-,-,"132,OL",Tac
36,"0,ALL","45,5","84,9","83,OL","90,7","97,7","106,5","83,3",-,"110,13","140,OL",TD
37,"0,ALL","25,3","56,13","58,OL","67,16","74,16","77,16","58,10",-,"83,12","104,OL",TD
38,"0,ALL","60,5","81,18","82,OL","90,16","96,16","111,5","82,15",-,"111,18","162,OL",Tac
39,"0,ALL","109,22","104,15","106,OL","117,9","125,9","138,22","106,2",-,"106,7","181,OL",Tac
40,"0,ALL","20,2","48,17","50,OL","59,20","67,20","74,2","50,8",-,"72,17","116,OL",TD
41,"0,ALL","31,19","40,3","42,OL","54,4","60,4","69,19","42,12","68,5",108,TD,
42,"0,ALL","69,1","125,16","127,OL","139,11","142,11","152,1","127,23",-,"158,18",191,Tac
43,"0,ALL","53,16","93,14","95,OL","58,10","65,10","71,16","45,13",-,"77,1",97,Tac
44,"0,ALL","59,6","77,4","79,OL","91,9","96,9","106,6","79,11",-,"110,18",146,OOB
45,"0,ALL","49,16","43,10","45,OL","57,4","64,4","72,16","45,7",-,"89,15",117,OOB
46,"0,ALL","44,2",81,"83,OL","92,15","96,15","108,2","83,15",-,"108,12",163,Tac
47,"0,ALL","123,16","120,14","121,OL","132,8","140,8","150,16","121,3",-,"150,5",195,Tac
48,"0,ALL","30,9","59,21","60,OL","70,11","76,11","85,9","60,6","60,8",-,135,Tac
49,"0,ALL","67,17","72,12","74,OL","83,9","91,9","101,17","74,5","74,4",-,124,Tac
50,"0,ALL","17,16","48,20","50,OL","63,18","69,8","79,16","50,17",-,"83,2",109,Tac
51,"0,ALL","60,19","48,8","50,OL","63,8","69,8","79,19","50,6",-,"78,8",106,Tac
52,"0,ALL","62,2","82,21","84,OL","91,8","104,8","115,2","84,7","144,1","116,21",158,Tac
53,"0,ALL","17,26","116,14","120,OL","129,13","136,13","148,24","120,7","186,34",-,175,Tac
54,"0,ALL","42,5","70,21","72,OL","79,4","87,4","97,5","72,8",-,-,121,Tac
55,"0,ALL","26,22","34,12","36,OL","45,10","55,10","63,22","36,4",-,-,94,Tac
56,"0,ALL","91,5","123,22","130,OL","138,14","140,14","148,5","132,3",-,"159,21",153,Tac
57,"0,ALL","40,17","48,13","55,OL","60,11","68,11","73,17","55,3",-,"88,8",110,Tac
58,"0,ALL","56,3","89,13","99,OL","104,20","110,20","120,3","99,21","99,15","122,7",146,OOB
59,"0,ALL","53,16","45,9","52,OL",58,64,"77,16",52,"78,12","78,13",122,OOB
60,"0,ALL","33,16","57,10","62,OL","62,7","72,7","81,16","62,13",-,"82,24",108,Tac
61,"0,ALL","18,22","21,19","27,OL","37,8","42,8","49,22","27,2",-,"47,19",77,Tac
62,"0,ALL","55,4","84,12","90,OL","95,20","101,20","112,4","90,22",-,"120,19",137,OOB
63,"0,ALL","63,16","67,3","73,OL","79,8","87,8","97,16","73,11",-,"105,6",141,OOB
64,"0,ALL","80,1","118,21","124,OL","132,12","136,12","150,1","124,2",-,-,173,Tac
65,"0,ALL","194,26","189,7","194,OL","201,9","212,9","220,21","194,14",-,-,246,Tac
66,"0,ALL","31,5","72,20","73,OL","84,8","90,8","101,5","73,9",-,"101,21",128,OOB
67,"0,ALL","89,23","76,16","77,OL","88,10","100,10","106,23","77,8",-,"103,1",135,OOB
68,"0,ALL","23,18","44,17","49,OL","65,12","81,12","82,18","49,4",-,-,115,Tac
69,"0,ALL","33,16","34,4","43,OL","49,8","55,8","65,16","85,11",-,"67,2",100,Tac
70,"0,ALL","22,2","74,6","80,OL","89,19","92,19","106,2","80,14",-,-,174,OOB
71,"0,ALL","70,17","97,15","101,OL","110,4","116,4","126,17",-,-,"178,19",212,OOB
72,"0,ALL","72,10","167,9","168,OL","182,16","188,16","199,10",-,-,"203,17",274,TD
73,"15,ALL","45,16","46,13","47,OL","57,11","63,11","78,16",-,-,"85,13",153,TD
74,"0,ALL","49,2","88,17","89,OL","101,1","107,1","116,2",-,"89,15",-,169,TD
75,"0,ALL","47,19","41,15","42,OL","55,7","64,7","70,19",-,"42,9",-,105,TD
76,"0,ALL","64,9","102,12","103,OL","112,16","118,16","132,9","103,4","103,2",-,191,Tac
77,"0,ALL","74,18","71,10","72,OL","84,6","91,6","102,18","72,13","72,12",-,168,Tac
78,"0,ALL","29,5","65,22","66,OL","77,11","80,11","88,5","66,4","66,10",-,135,Tac
79,"0,ALL","17,19","24,18","25,OL","38,5","41,5","55,19","25,2","25,4",-,82,Tac
80,"0,ALL","16,1","52,17","55,OL","61,10","66,10","76,1","55,15","55,6","81,4",114,OOB
81,"0,ALL","33,18","34,3","39,OL","45,8","53,8","60,18","39,5","39,1","59,14",109,OOB
82,"0,ALL","71,6","100,11","101,OL","118,7","121,7","136,6","101,20",-,"132,21",193,Tac
83,"0,ALL","83,19","80,14","89,OL","97,7","106,7","115,19","89,17",-,"111,10",155,Tac
84,"0,ALL","26,2","57,15","64,OL","69,5","78,5","85,2","64,4","64,6","82,14",127,Tac
85,"0,ALL","120,21","116,15","123,OL","131,13","137,13","146,21","125,10",123,"147,8",179,Tac
86,"0,ALL","44,3","83,21","89,OL","95,11","103,11","113,3","89,6","89,14","105,21",145,Tac
87,"0,ALL","142,23","134,13","143,OL","147,14","154,14","164,23","143,11","143,8","164,11",196,Tac
88,"7,ALL","128,7","152,11","153,OL","163,6","171,6","183,7","153,10",-,"187,19",271,Tac
89,"0,ALL","80,16","76,11","83,OL","86,7","90,7","106,16","83,18",-,"110,6",157,Tac
90,"0,ALL","41,9","68,22","71,OL","76,5","84,5","94,9","71,17",-,-,133,OOB
91,"0,ALL","36,17","32,16","35,OL","43,12","47,12","60,19","35,6",-,-,91,OOB
92,"0,ALL","35,2","104,16","105,OL","112,10","118,10","127,2",-,-,-,167,Tac
93,"0,ALL","69,17","61,9","62,OL","72,7","80,7","89,17",-,"62,2","90,24",102,Tac
94,"0,ALL","41,8","81,9","86,OL","95,12","98,12","110,8","86,7",-,"103,14",165,Tac
95,"0,ALL","88,19","83,16","85,OL","95,11","102,11","112,19","85,24",-,"112,5",153,Tac
96,"3,ALL","70,2","94,15","98,OL","108,16","115,16","123,2",-,-,-,157,Tac
97,"0,ALL","21,19","46,15","50,OL","61,17","69,17","75,19",-,-,-,111,Tac
98,"0,ALL","29,1","69,21","70,OL","80,15","88,15","94,1","70,6",-,-,144,Tac
99,"18,ALL","64,20","55,10","58,OL","68,7","77,7","85,20",-,-,-,127,Tac
100,"0,ALL","102,1","149,22","150,OL","159,18","164,18","174,1","150,17",-,-,216,OOB
101,"0,ALL","77,17","79,15","83,OL","97,14","98,14","106,17","83,1",-,-,136,OOB
102,"0,ALL","140,9","167,21","171,OL","177,15","186,15","195,9","171,12",-,"184,16",260,Tac
103,"0,ALL","131,15","149,20","152,OL","160,7","165,7","180,15","152,3",-,"180,8",229,Tac
104,"0,ALL","17,1","39,17","43,OL","52,13","57,13","67,1","43,6",-,"68,20",131,Tac
105,"0,ALL","23,5","49,20","53,OL","61,11","68,11","76,5","53,13",-,"77,12",146,Tac
106,"0,ALL","58,5","87,22","91,OL","103,16","115,16","129,5","91,3",-,-,178,Tac
107,"0,ALL","154,21","132,13","135,OL","154,8","160,8","178,21","135,10",-,-,219,Tac
108,"0,ALL","68,3","124,12","125,OL","137,10","141,10","154,3","125,15",-,-,193,Tac
109,"0,ALL","43,17","39,14","42,OL","57,8","62,8","71,17","42,13",-,-,119,Tac
110,"0,ALL","51,7","68,19","76,OL","80,11","89,11","103,7","76,6",-,-,167,Tac
111,"0,ALL","84,17","76,16","78,OL","90,13","95,13","111,17","78,12",-,-,177,Tac
112,"0,ALL","35,2","62,17","69,OL","78,7","84,7","94,2","69,1",-,-,175,Tac
113,"0,ALL","51,17","54,15","56,OL","71,14","78,14","90,17","56,12",-,-,162,Tac
114,"3,ALL","51,3","76,21","78,OL","90,17","93,17","104,3","78,6",-,-,145,OOB
115,"0,ALL","39,22","62,17","64,OL","72,14","82,14","91,2","64,5",-,-,122,OOB
116,"0,ALL","102,11","143,18","145,OL","155,9","158,9","171,11","145,7",-,-,198,OOB
117,"0,ALL","123,20","126,17","128,OL","139,11","141,11","152,20","128,3",-,-,178,OOB
118,"0,ALL","6,7","34,18","35,OL","48,19","51,19","60,7",-,"35,21",-,105,Tac
119,"0,ALL","33,19","43,14","44,OL","58,10","60,10","67,19",-,"44,3",-,89,Tac
120,"0,ALL","47,5","78,10","80,OL","91,16","94,16","105,5",-,-,-,141,Tac
121,"0,ALL","98,15","89,14","91,OL","103,8","108,8","119,15",-,-,"120,7",193,Tac
122,"0,ALL","55,18","87,20","89,OL","99,8","104,8","117,18","89,16",-,"117,21",156,OOB
123,"0,ALL","25,3","50,21","52,OL","64,21","68,21","76,3","52,7",-,"87,22",167,OOB
124,"0,ALL","47,19","44,12","46,OL","56,15","62,15","71,19","46,3",-,"72,7",169,OOB
125,"0,ALL","44,3","68,16","69,OL","80,9","88,9","99,3","69,13",-,"102,12",166,Tac
126,"0,ALL","7,16","15,10","16,OL","26,4","32,4","45,16","16,13",-,"45,10",123,Tac
127,"0,ALL","29,1","45,18","46,OL","56,16","62,16","77,1","46,17",-,-,184,OOB
128,"0,ALL","3,20","10,19","12,OL","23,18","28,18","41,20","12,14",-,-,99,OOB
129,"0,ALL","56,2","89,22","91,OL","104,6","111,6","120,2","91,19",-,-,200,OOB
130,"0,ALL","8,17","16,14","18,OL","29,7","38,7","45,17","18,5",-,"45,9",115,OOB
131,"0,ALL","20,8","41,22","48,OL","55,16","60,16","73,8","48,4","76,18",-,121,TD
132,"0,ALL","63,18","74,13","75,OL","87,9","91,9","103,18","75,21","75,8",-,134,TD
133,"0,ALL","14,13","47,19","48,OL","65,14","68,14","75,13","48,1","48,2","75,18",150,Tac
134,"0,ALL","30,18","46,10","47,OL","64,8","69,8","80,18","47,7","47,2","80,3",170,Tac
135,"0,ALL","0,16","10,9","11,OL","22,13","25,13","41,16","11,19",-,"50,7",98,OOB
136,"0,ALL","45,17","48,15","49,OL","60,12","69,12","80,17","49,10",-,"73,6",131,OOB
137,"0,ALL","63,2","102,16","104,OL","113,5","116,5","125,2","104,15",-,-,197,Tac
138,"0,ALL","103,17","109,5","110,OL","122,7","125,7","133,17","110,6",-,-,175,Tac
139,"0,ALL","35,2","70,14","71,OL","81,1","85,11","94,6","71,8",-,-,147,Tac
140,"0,ALL","50,21","58,13","59,OL","70,12","72,12","89,21","59,8",-,-,137,Tac
141,"0,ALL","0,13","13,18","19,OL","20,14","31,14","40,13","18,7","19,15",-,92,Tac
142,"0,ALL","6,16","23,14","25,OL","40,13","45,13","56,16","25,10","25,15",-,88,Tac
143,"0,ALL","0,20","34,11","36,OL","45,17","52,17","64,20","36,13",-,-,118,Tac
144,"0,ALL","77,17","70,12","72,OL","84,2","87,2","103,17","72,3",-,-,137,Tac
145,"0,ALL","33,16","53,15","55,OL","68,3","73,3","84,16","55,1",-,-,149,Tac
146,"0,ALL","2,2",35,"37,OL","54,10","58,10","68,2",-,-,-,144,Tac
147,"0,ALL","35,8","64,14","66,OL","78,4","81,4","90,8",-,-,"99,16",140,OOB
148,"0,ALL","60,16","80,13","82,OL","90,8","95,8","104,16",-,-,-,182,OOB
149,"0,ALL","63,2","94,15","96,OL","107,14","110,14","120,2","96,10",-,"130,16",181,OOB
150,"0,ALL","44,13","41,18","51,OL","60,5","64,5","74,13","51,1",-,"88,2",120,OOB
151,"0,ALL","10,1","46,18","48,OL","59,13","61,13","69,1",-,-,-,117,Tac
152,"0,ALL","70,19","76,13","78,OL","89,15","93,15","98,19",-,-,-,123,Tac
153,"0,ALL","24,2","48,17","50,OL","61,9","66,9","75,2",-,-,-,111,TD
154,"0,ALL","68,21","65,16","67,OL","79,11","82,11","90,21",-,-,-,109,TD
155,"22,ALL","34,2","61,21","63,OL","73,16","77,16","85,2",-,-,"90,21",115,OOB
156,"0,ALL","11,16","27,9","29,OL","38,5","47,5","55,16",-,-,"55,17",84,OOB
157,"0,ALL","0,17","57,22","59,OL","71,20","74,20","81,17","59,2",-,"84,22",164,Tac
158,"0,ALL","24,14","31,9","36,OL","44,12","49,12","57,14","36,10",-,-,115,Tac
159,"0,ALL","31,20","63,14","65,OL","76,21","83,21","92,20","65,18",-,-,129,Tac
160,"0,ALL","146,17","139,6","141,OL","152,11","157,11","166,17","141,3",-,-,195,Tac
161,"0,ALL","19,18","54,21","56,OL","61,10","67,18","74,18","56,4",-,-,114,OOB
162,"0,ALL","57,19","77,13","79,OL","92,8","99,8","106,19","79,14",-,-,143,OOB
163,"4,ALL","82,3","117,20","118,OL","130,9","136,9","140,3","118,6",-,-,244,OOB
164,"0,ALL","32,15","68,13","69,OL","80,10","88,10","92,15","69,4",-,-,218,OOB
165,"0,ALL","31,13","78,14","79,OL","86,10","93,10","99,13","79,4",-,-,104,OOB
166,"0,ALL","90,17","92,9","93,OL","106,11","113,11","121,17","93,3",-,-,126,OOB
167,"0,ALL","18,2","46,14","48,OL","53,12","64,12","70,2","48,13",-,-,149,TD
168,"0,ALL","68,18","21,7","23,OL","32,14","44,14","52,18","23,7",-,-,61,TD
169,"0,ALL","81,2","143,21","144,OL","154,9","158,9","170,2","144,4",-,-,175,Tac
170,"0,ALL","34,18","32,11","34,OL","48,6","55,6","65,18","34,13",-,-,87,Tac
171,"0,ALL","63,7","99,22","100,OL","112,13","124,13","136,7","100,10",-,-,227,TD
172,"0,ALL","182,2","177,20","178,OL","188,10","200,10","204,21","178,8",-,-,199,TD
173,"0,ALL","124,5","171,7","182,OL","185,17","190,17","197,5","185,10",-,-,223,Tac
174,"0,ALL","139,18","141,15","143,OL","147,9","162,9","163,18","143,8",-,-,196,Tac
175,"0,ALL","91,4","135,7","137,OL","148,3","151,3","157,4","137,2",-,-,225,OOB
176,"0,ALL","136,16","141,13","143,OL","152,8","155,8","159,16","143,10",-,-,171,OOB
177,"0,ALL","1,1","11,22","18,OL","24,12","29,12","40,11","18,3",-,-,85,1st
178,"0,ALL","47,21","47,7","51,OL","59,5","66,15","77,21","51,14",-,-,92,1st
179,"0,ALL","43,7","73,10","75,OL","86,11","94,11","97,7","75,6",-,-,148,OOB
180,"0,ALL","23,17","36,7","37,OL","51,5","59,5","64,17","37,14",-,-,117,OOB
181,"0,ALL","25,3","57,14","65,OL","72,20","76,20","77,3","65,7",-,-,188,OOB
182,"0,ALL","62,14","56,15","58,OL","65,7","85,7","86,14","58,8",-,-,112,OOB
183,"0,ALL","53,2","85,20","87,OL","90,21","103,21","113,2","87,4",-,-,184,Tac
184,"0,ALL","24,13","25,10","26,OL","34,7","48,7","52,13","26,4",-,-,119,Tac
185,"0,ALL","41,3","74,11","77,OL","92,18","97,18","106,3","77,2",-,-,204,OOB
186,"0,ALL","67,21","95,10","96,OL","109,9","119,9","121,21","96,3",-,-,242,OOB
187,"0,ALL","42,3","78,22","79,OL","90,9","96,9","107,3","79,8",-,-,216,OOB
188,"0,ALL","37,8","53,22","54,OL","61,14","79,14","82,8","54,2",-,-,146,OOB
189,"0,ALL","1,1","58,20","60,OL","71,6","82,6","85,1","60,17",-,-,143,OOB
190,"0,ALL","2,17","10,15","11,OL","23,11","35,11","37,17","11,9",-,-,96,OOB
191,"0,ALL","16,11","49,13","53,OL","58,12","64,12","72,1","53,3",-,-,129,OOB
192,"0,ALL","88,22","85,1","92,OL","94,2","105,2","110,22","92,14",-,-,142,OOB
193,"0,ALL","11,9","23,18","24,OL","32,19","37,19","41,9","24,15",-,-,89,OOB
194,"0,ALL","28,8","52,13","53,OL","61,5","69,5","71,8","53,9",-,-,100,OOB
195,"0,ALL","43,4","82,20","83,OL","96,8","99,8","107,4","83,1",-,-,230,OOB
196,"0,ALL","81,18","88,10","89,OL","99,8","104,8","109,18","89,14",-,-,117,OOB
197,"0,ALL","61,4","105,22","106,OL","116,2","121,2","128,4","106,10",-,-,151,OOB
198,"0,ALL","33,18","51,15","52,OL","59,14","69,14","73,18","52,9",-,-,101,OOB
199,"0,ALL","35,7","70,21","72,OL","81,11","89,11","94,7","72,1",-,-,170,OOB
200,"0,ALL","25,17","32,13","36,OL","44,10","53,10","55,17","36,4",-,-,137,OOB
201,"0,ALL","140,2","157,21","159,OL","172,9","182,9","188,2","159,7",-,-,286,OOB
202,"0,ALL","1,12",-,"1,OL",-,4,"5,19","1,8",-,-,67,OOB
203,"0,ALL","74,6","108,21","121,OL","126,11","133,11","138,6","121,2",-,-,212,Tac
204,"0,ALL","81,18","81,4","93,OL","95,10","106,10","110,18","93,5",-,-,170,Tac
205,"0,ALL","91,3","138,21","129,OL","140,14","148,14","154,3","129,11",-,-,240,Tac
206,"0,ALL","60,20","59,8","63,OL","73,11","83,11","89,20","63,8",-,-,184,Tac
207,"0,ALL","31,10","65,22","66,OL","75,5","85,5","94,10","66,4",-,-,111,TD
208,"0,ALL","46,15","50,11","51,OL","56,17","69,17","76,15","51,7",-,-,98,TD
209,"0,ALL","20,4","57,13","58,OL","71,9","76,9","82,4","58,2",-,-,142,OOB
210,"0,ALL","38,18","50,15","51,OL","60,6","69,6","73,18","51,5",-,-,108,OOB
211,"0,ALL","109,4","155,21","156,OL","167,11","173,11","178,4","156,22",-,-,241,OOB
212,"0,ALL",",OL","147,11",-,1,OOB,,,,,,
213,"0,ALL","46,1","93,17","95,OL","108,8","113,8","125,1","95,14",-,-,213,TD
214,"0,ALL","89,20","87,16","88,OL","100,11","112,11","116,20","88,8",-,-,181,TD
215,"0,ALL","1,19","13,17","14,OL","25,13","32,13","36,19","14,3",-,-,150,OOB
216,"0,ALL","38,20","46,12","47,OL","57,8","65,8","71,18","47,10",-,-,166,OOB
217,"0,ALL","79,10","113,11","114,OL","127,16","131,16","137,10","114,4",-,-,224,OOB
218,"0,ALL","27,14","37,7","38,OL","50,16","54,16","61,14","38,15",-,-,89,OOB
219,"0,ALL","60,4","81,21","82,OL","95,2","100,2","107,4","82,20",-,-,144,Tac
220,"0,ALL","74,3","94,12","97,OL","105,17","116,17","122,3","97,4",-,-,177,Tac
221,"0,ALL","18,5","49,20","51,OL","62,21","71,21","78,5","51,3",-,-,137,Tac
222,"0,ALL","65,20","58,8","59,OL","65,6","83,6","87,20","59,4",-,-,117,Tac
223,"0,ALL","37,5","83,20","85,OL","93,15","100,15","102,5","85,11",-,-,198,Tac
224,"0,ALL","64,20","66,15","68,OL","75,13","83,13","90,20","68,3",-,-,147,Tac
225,"0,ALL","41,1","80,13","81,OL","91,10","101,10","110,1","81,2",-,-,175,Tac
226,"0,ALL","61,17","63,7","65,OL","74,6","84,6","92,17","65,2",-,-,148,Tac
227,"0,ALL","27,2","42,22","43,OL","72,9","80,9","88,2","63,1",-,-,177,OOB
228,"0,ALL","21,20","25,18","27,OL","38,12","48,12","57,20","27,16",-,-,144,OOB
229,"0,ALL","38,2","57,20","58,OL","69,8","75,8","83,2","58,12",-,-,139,Tac
230,"0,ALL","7,4","24,11","25,OL","37,5","45,5","49,4","25,10",-,-,152,Tac
231,"0,ALL","1,10","47,14","48,OL","61,19","66,19","70,16","48,11",-,-,133,Tac
232,"0,ALL","160,18","109,17","110,OL","120,14","132,14","134,18","110,3",-,-,189,Tac
233,"0,ALL","27,2","62,17","64,OL","83,11","87,11","94,2","64,4",-,-,107,OOB
234,"0,ALL","59,19","62,16","63,OL","77,13","84,13","90,19","63,5",-,-,163,OOB
235,"0,ALL","88,3","121,10","123,OL","132,4","141,4","149,3","123,7",-,-,165,OOB
236,"0,ALL","52,3","87,19","88,OL","96,18","106,18","110,3","88,8",-,-,134,OOB
237,"0,ALL","49,1","78,18","79,OL","91,7","98,7","103,1","79,5",-,-,241,Tac
238,"0,ALL","53,19","40,14","42,OL","69,7","81,7","85,19","42,2",-,-,232,Tac
239,"0,ALL","51,3","163,13","164,OL","177,11","184,11","189,3","164,10",-,-,327,Tac
240,"0,ALL","25,16","117,13","119,OL","126,4","137,4","149,16","119,14",-,-,172,Tac
241,"0,ALL","47,6","94,12","95,OL","104,18","111,18","118,6","95,7",-,-,148,OOB
242,"0,ALL","105,15","108,7","114,OL","124,10","132,10","138,15","114,3",-,-,189,OOB
243,"0,ALL","20,18","22,22","33,OL","45,5","49,5","50,18","33,17",-,-,103,TD
244,"0,ALL","30,10","43,17","45,OL","56,18","60,18","69,10","45,8",-,-,98,TD
245,"0,ALL","1,9","23,19","25,OL","35,15","40,15","45,9","25,18",-,-,118,OOB
246,"0,ALL","2,14","32,17","34,OL","43,15","47,15","55,14","34,11",-,-,108,OOB
247,"0,ALL","61,5","90,8","91,OL","102,4","107,4","116,5","91,3",-,-,216,Tac
248,"0,ALL","76,16","86,12","87,OL","98,3","109,3","113,16","87,1",-,-,162,Tac
