Video Name:,RPO,"Run Block - Frame, Z/G, OL. Use end frame of Throw Pass for end frame of run block.",,,,,,,,
93,"26,ALL","66,Z,OL","70,3","87,104,3","120,128,3",",30 TD",,,,
94,"0,ALL","39,G,OL","43,15",-,"65,74,15","out,4",OOB,,,
95,"0,ALL","44,G,OL","47,10",-,"70,78,3",", OOB",,,,
96,"0,ALL","67,Z,OL","74,10","89,95,10","100,107,10","hitch,0",Tac,,,
97,"0,ALL","58,Z,OL","62,5","73,83,5","88,96,5",",8 Tac",,,,
98,"0,ALL","43,Z,OL","74,11","85,95,11","108,114,11","post,3",Tac,,,
99,"0,ALL","32,Z,OL","35,8","38,45,8","68,77,8","fade,3",OOB,,,
100,"0,ALL","51,Z,OL","55,9","66,69,9","87,97,9",",23 OOB",,,,
101,"0,ALL","33,Z,OL","38,1","37,48,4","69,77,4","post,0",Tac,,,
102,"5,ALL","39,Z,OL","55,5","67,79,5","96,105,5",",28 Tac",,,,
103,"14,ALL","75,Z,OL","25,12","59,67,12","87,103,12","hitch,[?],1",[?],,,
104,"0,ALL","12,Z,OL","42,5","66,71,14","102,107,0","slant,6,24",Tac,,,
105,"0,ALL","24,Z,OL","36,17","70,79,16","92,97,16","out,0",OOB,,,
106,"0,ALL","70,Z,OL","74,11","109,113,11","128,135,11",",22 OOB",,,,
107,"0,ALL","77,Z,OL","27,16","52,58,16","74,82,16","slant,2",Tac,,,
108,"0,ALL","35,Z,OL","44,10","62,74,10","88,98,10",",17 Tac",,,,
109,"0,ALL","46,Z,OL","51,9","65,73,9","93,104,9","fade,1",OOB,,,
110,"0,ALL","67,Z,OL","74,6","88,96,11","119,125,11",",35 OOB",,,,
111,"0,ALL","32,Z,OL","40,18","53,61,18","75,83,9","hitch,1",Tac,,,
112,"0,ALL","57,Z,OL","58,2","73,83,2","91,99,2",",24 Tac",,,,
113,"0,ALL","36,Z,OL","46,16","55,62,16","83,89,16","slant,5",Tac,,,
114,"0,ALL","64,Z,OL","76,4","86,94,4","112,120,4",",18 Tac",,,,
115,"0,ALL","75,Z,OL","82,9","113,119,9","155,164,9","post,1",TD,,,
116,"0,ALL","54,Z,OL","57,4","82,91,4","130,139,4",",16 TD",,,,
117,"5,ALL","74,G,OL","77,5","84,94,5","125,133,5","fade,16",OOB,,,
118,"0,ALL","62,G,OL","66,8","75,83,8","122,129,8",",33 OOB",,,,
119,"0,ALL","52,Z,OL","55,11","72,83,11","95,104,11","hitch,1",OOB,,,
120,"5,ALL","66,Z,OL","85,13","93,104,12","118,123,12",",39 OOB",,,,
121,"0,ALL","68,Z,OL","71,12","87,94,12","123,130,8","hitch,0",Tac,,,
122,"0,ALL","45,Z,OL","51,9","60,69,9","102,108,20",",28 Tac",,,,
123,"0,ALL","31,Z,OL","35,4",-,"70,75,4","fade,1",OOB,,,
124,"0,ALL","-,OL",-,-,-,-,OOB,,,
125,"0,ALL","54,G,OL","53,16","75,88,16","109,114,16","post,0",TD,,,
126,"0,ALL","39,G,OL","45,9","84,73,9","90,99,9",",23 TD",,,,
127,"0,ALL","85,Z,OL","85,7","104,114,7","142,156,7","fade,4",OOB,,,
128,"0,ALL","42,Z,OL","44,7","63,75,7","98,108,7",-,OOB,,,
129,"0,ALL","61,Z,OL","73,8","92,99,8","143,149,8","post,16",TD,,,
130,"0,ALL","56,Z,OL","58,7","73,82,7","121,132,10",",25 TD",,,,
131,"0,ALL","74,Z,OL","76,19","88,95,19","120,127,19","fade,2",Tac,,,
132,"0,ALL","81,Z,OL","89,6","99,110,6","133,140,6",",28 Tac",,,,
133,"0,ALL","42,Z,OL",-,-,"76,84,13","hitch,0",Tac,,,
134,"3,ALL","53,40,OL",-,-,-,-,Tac,,,
135,"0,ALL","38,Z,OL","44,11","55,63,11","87,95,11",",7 Tac",,,,
136,"0,ALL","45,Z,OL","48,2","57,74,2","100,108,2",",19 Tac",,,,
137,"0,ALL","47,Z,OL","52,8","65,79,8","91,98,8","slant,2",Tac,,,
138,"0,ALL","65,Z,OL","68,4","87,101,4","112,119,4",",26 Tac",,,,
139,"0,ALL","81,10,OL","87,10","103,115,10","144,151,10","post,3",Tac,,,
140,"0,ALL","31,Z,OL","34,4","50,60,4","93,100,4",",28 Tac",,,,
141,"0,ALL","34,Z,OL","38,15","58,68,15","80,87,15","post,14",Tac,,,
142,"0,ALL","42,Z,OL","50,5","70,84,5","92,100,5",",17 Tac",,,,
143,"20,ALL","40,Z,OL","50,9","62,70,5","83,89,5","hitch,1",OOB,,,
144,"0,ALL","51,Z,OL","55,6","71,86,6","92,103,6",",23 OOB",,,,
145,"0,ALL","45,Z,OL","59,16","81,88,10","105,112,10","hitch,19",Tac,,,
146,"0,ALL","44,Z,OL","53,5","84,92,11","106,111,11",",37 Tac",,,,
147,"0,ALL","58,Z,OL","62,12","86,98,12","105,112,12","slant,0",OOB,,,
148,"0,ALL","40,Z,OL","46,12","62,73,12","88,95,12",",30 OOB",,,,
149,"0,ALL","72,Z,OL","82,16","89,111,19","152,163,19","post,4",TD,,,
150,"0,ALL","44,Z,OL","51,6","66,89,11","126,131,3",",28 TD",,,,
151,"0,ALL","64,Z,OL","72,6","93,116,6","138,144,3","post,5",TD,,,
152,"0,ALL","26,Z,OL","27,6","41,61,6","82,91,6",",20 TD",,,,
153,"0,ALL","48,Z,OL","52,19","69,76,19","100,107,19","seam,2",Tac,,,
154,"0,ALL","63,Z,OL","71,1","82,86,1","111,122,1",",25 Tac",,,,
155,"0,ALL","59,Z,OL","63,16","75,81,16","97,104,16","post,2",TD,,,
156,"0,ALL","76,Z,OL","82,11","96,100,11","119,126,11",",19 TD",,,,
157,"0,ALL","47,G,OL","58,12","71,77,12","87,92,12","slant,5",Tac,,,
158,"0,ALL","45,G,OL","54,9","68,77,9","83,90,9",",0 Tac",,,,
159,"0,ALL","28,Z,OL","35,11","47,53,11","81,89,11","fade,8",Tac,,,
160,"0,ALL","58,Z,OL","61,10","73,82,10","103,112,10",",20 Tac",,,,
161,"0,ALL","49,Z,OL",-,-,"95,101,8","slant,2",Tac,,,
162,"0,ALL","30,Z,OL",-,-,"63,71,1",",31 Tac",,,,
163,"0,ALL","22,Z,OL","33,11","46,52,11","63,74,11","seam,1",Tac,,,
164,"0,ALL","66,Z,OL","77,20","90,98,17","109,117,5",",16 Tac",,,,
165,"0,ALL","66,Z,OL","77,14","96,103,14","129,138,14","slant,[?],6",TD,,,
166,"0,ALL","82,Z,OL","89,3","104,120,12","159,166,17","slant:[?],22",TD,,,
167,"5,ALL","61,Z,OL","65,10","68,73,10","95,104,10","fade,14",OOB,,,
168,"0,ALL","35,Z,OL","35,3","38,40,3","59,68,3","fade,14",OOB,,,
169,"0,ALL","76,Z,OL","81,21","96,103,21","126,133,21","slant,0",Tac,,,
170,"0,ALL","40,Z,OL","52,13","67,71,13","95,103,13",",18 Tac",,,,
171,"0,ALL","72,Z,OL","80,19","97,107,26","137,146,26","post,1",TD,,,
172,"0,ALL","22,Z,OL","27,?","43,56,?","94,100,10",",19 TD",,,,
173,"0,ALL","64,Z,OL","71,12","97,105,12","140,148,12","fade,4",Tac,,,
174,"0,ALL","100,Z,OL","65,13","92,101,13","131,140,13",",26 Tac",,,,
175,"0,ALL","38,Z,OL","48,20","75,82,20","125,134,20","post,9",Tac,,,
176,"0,ALL","43,Z,OL","51,6","71,80,6","127,135,6",",19 Tac",,,,
177,"0,ALL","45,Z,OL","58,9","77,86,9","123,133,9","post,3",Tac,,,
178,"0,ALL","28,Z,OL","35,2","53,62,2","99,107,2",",19 Tac",,,,
179,"0,ALL","39,Z,OL","41,15","47,54,15","78,85,15","fade,2",OOB,,,
180,"0,ALL","43,Z,OL","51,5","56,67,5","90,96,5","fade,23",OOB,,,
181,"0,ALL","69,Z,OL","72,13","90,97,19","104,113,19","slant,0",Tac,,,
182,"0,ALL","42,Z,OL","49,6","62,69,6","84,87,6",",17 Tac",,,,
183,"0,ALL","50,Z,OL","58,4","77,87,4","102,109,4","out,8",Tac,,,
184,"0,ALL","63,Z,OL","69,13","97,104,13","115,121,13",",47 Tac",,,,
185,"0,ALL","48,Z,OL","58,19","70,80,22","114,123,22","fade,3",OOB,,,
186,"0,ALL","47,Z,OL","51,10","70,80,10","114,122,10",",24 OOB",,,,
187,"0,ALL","55,Z,OL","62,8","88,78,8","85,91,8","hitch,0",TD,,,
188,"0,ALL","41,Z,OL","46,7","53,62,7","67,75,7",",20 TD",,,,
189,"0,ALL","40,Z,OL","43,0","65,70,0","91,100,0",",3 Tac",,,,
190,"0,ALL","37,Z,OL","42,3","55,64,7","89,98,8",",27 Tac",,,,
191,"0,ALL","33,Z,OL","32,20","46,51,20","111,127,20","comeback,7",Tac,,,
192,"0,ALL","58,Z,OL","62,3","71,80,3","138,152,3",",31 Tac",,,,
193,"0,ALL","55,Z,OL","74,16","90,96,16","123,132,16","fade,28",Comp.,,,
194,"0,ALL","35,Z,OL","38,16","67,73,16","101,109,16",",33 Comp.",,,,
195,"0,ALL","99,Z,OL","108,14","124,129,14","150,158,14","slant,0",Tac,,,
196,"0,ALL","45,Z,OL","55,8","67,79,9","93,103,9",",22 Tac",,,,
197,"0,ALL","0,Z,OL","1,13","11,22,13","82,92,13","fade,17",Tac,,,
198,"0,ALL","37,Z,OL","42,11","60,70,11","127,137,6",",21 Tac",,,,
199,"0,ALL","50,Z,OL","59,15","78,87,15","106,115,15","fade,0",TD,,,
200,"0,ALL","34,Z,OL","40,18","54,58,18","93,101,18",-,TD,,,
201,"0,ALL","45,Z,OL","48,21","63,72,21","114,121,21","out,0",OOB,,,
202,"0,ALL","61,Z,OL","64,8","73,80,8","129,135,8",",13 OOB",,,,
203,"0,ALL","42,Z,OL","118,13","140,146,13","171,176,13","slant,7",Tac,,,
204,"0,ALL","59,Z,OL","65,7","79,85,7","115,120,7",",27 Tac",,,,
205,"0,ALL","47,G,OL","56,16","76,85,16","94,105,16","slant,5",Tac,,,
206,"0,ALL","46,G,OL","49,12","72,81,12","94,100,12",",19 Tac",,,,
207,"0,ALL","25,Z,OL","28,17","48,52,20","102,108,20",",6 Tac",,,,
208,"0,ALL","43,Z,OL","50,9","65,73,9","124,130,9",",18 Tac",,,,
209,"0,ALL","49,Z,OL","67,20","67,77,20","94,103,20",",0 Tac",,,,
210,"0,ALL","57,Z,OL","64,7","78,88,7","107,112,7",",15 Tac",,,,
211,"0,ALL","20,Z,OL","16,18","17,22,18","36,42,18","hitch,1",Tac,,,
212,"0,ALL","45,Z,OL","50,5","54,60,5","71,80,5",",32 Tac",,,,
213,"0,ALL","60,Z,OL","74,10","93,98,8","109,114,8","slant,1",Tac,,,
214,"0,ALL","60,Z,OL","72,11","80,86,11","100,107,11",",16 Tac",,,,
215,"0,ALL","38,Z,OL","45,15","68,72,13","89,96,13","slant,0",Tac,,,
216,"0,ALL","84,Z,OL","90,5","109,116,5","134,140,5",",26 Tac",,,,
217,"0,ALL","63,Z,OL","74,12","83,94,12","115,118,12","seam,2",TD,,,
218,"0,ALL","31,Z,OL","35,4","51,59,4","83,90,16",",16 TD",,,,
219,"0,ALL","39,Z,OL","47,14","68,76,9","92,99,9","post,0",TD,,,
220,"0,ALL","64,Z,OL","66,8","92,110,8","117,123,8",",22 TD",,,,
221,"0,ALL","60,Z,OL","67,6","70,86,8","117,126,8","slant,2",Tac,,,
222,"0,ALL","44,Z,OL","48,8","66,75,8","97,104,8",",19 Tac",,,,
223,"0,ALL","39,Z,OL",-,-,"107,114,14","fade,2",Tac,,,
224,"0,ALL","100,Z,OL",-,-,"175,180,4",",25 Tac",,,,
225,"0,ALL","26,Z,OL","31,19","55,61,19","85,90,19","post,28",Tac,,,
226,"0,ALL","69,Z,OL","74,4","95,103,4","127,137,4",",3 Tac",,,,
227,"0,ALL","23,Z,OL","31,17","64,69,27","104,111,24","slant:[?],2",Tac,,,
228,"0,ALL","45,Z,OL","50,4","98,98,4","126,135,4",",27 Tac",,,,
229,"0,ALL","-,OL",-,-,-,-,-,,,
230,"0,ALL","-,OL",-,-,-,-,-,,,
231,"0,ALL","41,Z,OL",-,-,"100,103,18","wheel,2",Tac,,,
232,"0,ALL","31,Z,OL",-,-,"93,96,13",",? Tac",,,,
233,"0,ALL","86,Z,OL","89,8","97,104,8","112,125,8","hitch,0",Tac,,,
234,"0,ALL","71,Z,OL","78,13","86,94,13","102,103,13",",23 Tac",,,,
235,"0,ALL","40,Z,OL","49,15","69,76,3","85,91,3","seam,7",TD,,,
236,"0,ALL","66,Z,OL","70,5","82,96,5","107,113,5",",15 TD",,,,
237,"0,ALL","31,Z,OL","34,9","51,57,21","82,89,21","fade,15",Tac,,,
238,"0,ALL","56,Z,OL","63,8","74,84,8","107,112,8",",28 Tac",,,,
239,"0,ALL","34,G,OL","45,16","52,58,16","79,85,9","slant,8",Tac,,,
240,"0,ALL","73,G,OL","82,8","97,105,8","125,132,8",",20 TD",,,,
241,"0,ALL","50,Z,OL",-,-,"77,84,10","hitch,8",Tac,,,
242,"0,ALL","57,Z,OL",-,-,-,-,Tac,,,
243,"0,ALL","74,G,OL","83,20","92,98,20","124,133,20","post,0",Tac,,,
244,"0,ALL","41,G,OL","56,15","67,78,15","104,111,15",",22 Tac",,,,
245,"0,ALL","44,Z,OL","52,7","72,78,7","84,91,7","seam,18",TD,,,
246,"0,ALL","46,Z,OL","50,3","68,74,3","85,92,9",",15 TD",,,,
247,"0,ALL","-,OL",-,"95,100,9","122,129,9","out,3",Tac,,,
248,"0,ALL","76,Z,OL","79,9","57,71,15","81,88,15",",0 Tac",,,,
249,"0,ALL","34,Z,OL","40,15","61,70,3","88,94,3",",18 TD",,,,
250,"0,ALL","36,Z,OL","32,3",-,"71,78,9","fade,0",Tac,,,
251,"0,ALL","32,Z,OL",-,-,"87,105,10",",28 Tac",,,,
252,"17,ALL","52,Z,OL","43,12","69,80,12","108,114,12",",1 TD",,,,
253,"0,ALL","38,Z,OL","72,6","106,113,6","141,145,6",",28 TD",,,,
254,"13,ALL","63,Z,OL","72,6",-,-,-,-,,,
