Video Name:,Sacks,,,,
92,"0,ALL","84,9","115,9","125,9",Cover 4
93,"0,ALL","125,10","146,10","150,17",Cover 0
94,"0,ALL","73,14","103,19","111,19",Cover 0
95,"0,ALL","57,?","70,?","75,?",Cover 1
96,"0,ALL","55,13","73,7","77,7",Cover 1
97,"0,ALL",-,-,-,Cover 0
98,"0,ALL","63,2","77,7","89,7",Cover 0
99,"0,ALL","52,10","68,10","70,10",Cover 1
100,"0,ALL","91,0","115,8","118,5",Cover 1
101,"0,ALL","79,16","97,16","108,16",Cover 2
102,"0,ALL","107,1","125,1","138,1",Cover 2
103,"0,ALL","159,16","175,16","191,16",Defense
104,"0,ALL","63,4","87,4","114,13",Defense
105,"12,ALL","181,21","194,21","218,17",Defense
106,"0,ALL","60,14","83,8","88,8",Defense
107,"0,ALL","159,25","169,14","182,9",Defense
108,"0,ALL","118,10","130,5","137,5",Defense
109,"0,ALL","60,5","79,5","87,5",Defense
110,"0,ALL","93,10","106,10","111,10",Defense
111,"0,ALL","95,9","114,13","122,9",Defense
112,"0,ALL","103,21","116,19","124,19",Defense
113,"0,ALL","144,14","156,14","160,14",Defense
114,"0,ALL","89,12","110,12","116,12",Defense
115,"0,ALL","101,21","116,20","125,14",Defense
116,"0,ALL","70,6","96,6","94,6",Defense
117,"0,ALL","82,1","108,1","120,1",Defense
118,"0,ALL","100,12","125,12","140,12",Defense
119,"0,ALL","69,?","83,21","77,21",Defense
120,"0,ALL","52,14","91,14","114,0",Defense
121,"0,ALL","91,5","103,13","110,13",Defense
122,"0,ALL","71,5","101,23","113,?",Defense
123,"0,ALL","94,16","117,16",?,Defense
124,"0,ALL","83,14","98,14","105,14",Defense
125,"0,ALL","72,24","89,8","101,8",Defense
126,"0,ALL","110,12","126,12","172,6",Defense
127,"0,ALL","59,15","76,15","110,6",Defense
128,"0,ALL","93,8","114,8","123,8",Defense
129,"0,ALL","56,5","85,5","91,5",Defense
130,"0,ALL","112,4","128,4","141,29",Defense
131,"0,ALL","132,20","152,20","160,7",Defense
132,"0,ALL","93,16","101,3","113,13",Defense
133,"0,ALL","60,6","81,6","94,19",Defense
134,"0,ALL","81,9","104,15","103,9",Defense
135,"0,ALL","51,0","91,0","96,0",Defense
136,"0,ALL","103,25","121,6","127,6",Defense
137,"0,ALL","101,24,2","109,2","122,2",Defense
138,"0,ALL","108,19","113,19,8","124,7",Defense
139,"0,ALL","71,4","86,13,8","100,8",Defense
140,"0,ALL","120,22","137,?","150,?",Defense
141,"0,ALL","54,7","80,7","85,7",Defense
142,"0,ALL","74,15,4","88,4","105,27",Defense
143,"6,ALL","100,2,8","113,11","133,21",Defense
144,"0,ALL","104,7","122,7","138,7",Defense
145,"0,ALL","39,4","70,12","80,12",Defense
146,"0,ALL","132,19","116,18","173,?",Defense
147,"0,ALL","117,15","144,15","155,28",Defense
148,"0,ALL","71,15","87,15","102,15",Defense
149,"0,ALL","136,8","152,8","181,8",Defense
150,"0,ALL","81,3","116,3","137,3",Defense
151,"0,ALL","79,12","114,12","129,12",Defense
152,"0,ALL","99,4","111,4","120,15",Defense
153,"0,ALL","61,10","91,10","97,10",Defense
154,"0,ALL","79,6","93,6","112,11",Defense
155,"0,ALL","82,2","111,3","120,3",Defense
156,"0,ALL","79,17","95,10","111,15",Defense
157,"0,ALL","98,8","116,8","135,9",Defense
158,"0,ALL","68,24","95,8","108,8",Defense
159,"0,ALL","38,9","73,21","86,21",Defense
160,"0,ALL","66,6","81,6","87,6",Defense
161,"0,ALL","103,13","116,4","123,4",Defense
162,"0,ALL","93,4","113,12","141,15",Defense
163,"0,ALL","66,4","80,7","107,7",Defense
164,"0,ALL","113,26","132,26","139,26",Defense
165,"0,ALL","117,5","140,5","144,5",Defense
166,"0,ALL","77,21","94,17","112,17",Defense
167,"0,ALL","100,9","115,9","129,23",Defense
168,"0,ALL","66,2","77,10","86,2",Defense
169,"0,ALL","72,20","85,20","99,8",Defense
170,"0,ALL","80,7","90,1","101,7",Defense
171,"0,ALL","79,7","90,7","100,5",Defense
172,"0,ALL","134,23","154,23","170,23",Defense
173,"0,ALL","81,7","98,7","105,7",Defense
174,"0,ALL","84,18","101,18","113,8",Defense
175,"0,ALL","100,20","113,6","122,24",Defense
176,"0,ALL","63,21,23","86,24","90,2",Defense
177,"0,ALL","50,8,6","78,7","85,7",Defense
178,"0,ALL","61,11","92,11","115,11",Defense
179,"0,ALL","89,5","119,2","135,5",Defense
180,"0,ALL","97,17","115,10","119,0",Defense
181,"0,ALL","81,5","98,4","105,4",Defense
182,"0,ALL","75,?","102,?","115,?",Defense
183,"0,ALL","71,4","96,4","114,4",Defense
184,"0,ALL","65,6","91,10","106,20",Defense
185,"0,ALL","91,14","111,10","120,19",Defense
186,"0,ALL","66,15","85,15","101,15",Defense
187,"0,ALL","71,3","92,3","113,3,5",Defense
188,"0,ALL","105,7","139,7","151,7",Defense
189,"0,ALL","62,6","90,6","128,6",Defense
190,"0,ALL","62,12","96,12","108,12",Defense
191,"0,ALL","79,1","101,8","112,8",Defense
192,"0,ALL","187,23","190,23","209,10",Defense
193,"0,ALL","134,11","151,15","191,10",Defense
194,"0,ALL","116,21","130,21","145,21",Defense
195,"0,ALL","142,9","162,8","177,9",Defense
196,"0,ALL","80,14","83,?","101,?",Defense
197,"0,ALL","97,2","108,?","119,?",Defense
198,"0,ALL","85,5","100,5","105,5",Defense
199,"0,ALL","80,20","90,20","99,4",Defense
200,"0,ALL","120,?","133,?","150,?",Defense
201,"0,ALL","149,10","158,10","202,19",Defense
202,"21,ALL","88,1","111,5","117,5",Defense
203,"0,ALL","83,7","102,7","110,7",Defense
204,"0,ALL","113,19","130,19","138,13",Defense
205,"0,ALL","57,7","67,25","75,?",Defense
206,"0,ALL","105,9,16","123,9","134,?",Defense
207,"0,ALL","88,2,18","110,2","123,18",Defense
208,"0,ALL","39,2","50,?","58,?",Defense
209,"0,ALL","145,9","165,9","169,9",Defense
210,"0,ALL","66,6","83,6","92,6",Defense
211,"0,ALL","56,14","73,14","91,14",Defense
212,"0,ALL","65,8","78,8",?,Defense
213,"0,ALL","94,4","106,4",?,Defense
214,"0,ALL","74,","93,8","110,14",Defense
215,"0,ALL","80,8","100,8","112,8",Defense
216,"0,ALL","76,2","88,2","113,?",Defense
217,"0,ALL","63,9","75,9","100,?",Defense
218,"0,ALL","58,10","74,10","84,10",Defense
219,"0,ALL","50,2","67,2","73,2",Defense
220,"0,ALL","63,24","83,2","90,2",Defense
221,"0,ALL","60,12","78,12","90,3",Defense
222,"6,ALL","69,19","94,2","116,2",Defense
223,"10,ALL","81,7","98,7","120,9",Defense
224,"0,ALL","79,1","99,6","104,1",Defense
225,"0,ALL","80,2","84,2","93,2",Defense
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,Defense
