Video Name:,Crosses25+ (Deep Cross),,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,
50,"0,ALL",-,"-,OL",-,-,-,Tac,
51,"0,ALL",-,"3,OL","11,14,10","11,191,3","110,121,10","200,3",Tac
52,"0,ALL",-,"-,OL",-,-,-,Tac,
53,"0,ALL","12,20","16,OL","28,31,19","28,204,2","112,122,19",-,TD
54,"0,ALL",-,"-,OL",-,-,-,TD,
55,"0,ALL","4,18","7,OL","9,12,15","18,160,8","110,120,15","165,8",Tac
56,"0,ALL",-,"-,OL",-,-,-,Tac,
57,"0,ALL","12,19","15,OL","27,30,8","27,195,0","111,120,8",-,TD
58,"0,ALL",-,"-,OL",-,-,-,TD,
59,"0,ALL","16,10","19,OL","31,34,7","31,231,1","127,138,7",-,Comp.
60,"0,ALL",-,"-,OL",-,-,-,Comp.,
61,"0,ALL","19,20","22,OL","36,39,14","36,188,1","155,143,14",-,'
62,"0,ALL",-,"-,OL",-,-,-,',
63,"0,ALL","17,14","20,OL","32,35,16","32,189,18","121,129,16",-,'
64,"0,ALL",-,"-,OL",-,-,-,',
65,"0,ALL","13,15","16,OL","28,31,18","30,211,1","121,131,18",-,Completion
66,"0,ALL",-,"-,OL",-,-,-,',
67,"0,ALL","3,21","6,OL","18,21,20","18,198,5","111,119,20",-,TD
68,"0,ALL",-,"-,OL",-,-,-,TD,
69,"0,ALL","16,14","19,OL","30,33,13","30,186,5","107,119,13","195,5",Comp.
70,"0,ALL",-,"-,OL",-,-,-,',
71,"0,ALL",-,"5,OL","11,14,12","11,168,17","98,106,12","173,17",TD
72,"0,ALL",-,"-,OL",-,-,-,TD,
73,"0,ALL","22,13","25,OL","36,39,12","36,234,15","145,155,12",-,TD
74,"0,ALL",-,"-,OL",-,-,-,TD,
75,"0,ALL","24,16","27,OL","41,44,6","41,265,15","155,167,6",-,TD
76,"0,ALL",-,"-,OL",-,-,-,Tac,
77,"0,ALL","11,15","14,OL","23,25,7","23,226,0","155,165,7",-,Tac
78,"0,ALL",-,"-,OL",-,-,-,TD,
79,"0,ALL","3,16","6,OL","20,22,18","20,198,0","122,131,18",-,TD
80,"0,ALL",-,"-,OL",-,-,-,OOB,
81,"0,ALL","17,14","20,OL","31,33,9","31,202,2","133,141,9",-,OOB
82,"0,ALL",-,"-,OL",-,-,-,Comp.,
83,"0,ALL","24,13","29,OL","30,36,19","40,200,22","123,130,19",-,Comp.
84,"0,ALL",-,"-,OL",-,-,-,TD,
85,"0,ALL","2,17","5,OL","6,9,16","16,198,3","120,129,16",-,TD
86,"0,ALL",-,"-,OL",-,-,-,TD,
87,"0,ALL","9,14","12,OL","15,17,18","26,206,4","123,134,18",-,TD
88,"0,ALL",-,"-,OL",-,-,-,OOB,
89,"0,ALL","1,15","4,OL","13,16,9","13,158,1","94,98,9","163,1",OOB
90,"0,ALL",-,"-,OL",-,-,-,Tac,
91,"0,ALL",-,"4,OL","10,12,15","10,165,1","93,104,15",-,Tac
92,"0,ALL",-,"-,OL",-,-,-,Tac,
93,"0,ALL","19,16","22,OL","32,34,15","32,195,1","131,141,15","203,1",Tac
94,"0,ALL",-,"-,OL",-,-,-,Tac,
95,"0,ALL","1,15","11,OL","6,9,20","14,169,0","87,96,20",-,Comp.
96,"0,ALL",-,"-,OL",-,-,-,Comp.,
97,"0,ALL",-,"1,OL","10,12,14","10,171,1","87,95,14","176,1",TD
98,"0,ALL",-,"-,OL",-,-,-,TD,
99,"0,ALL","4,12","14,OL","26,29,20","26,186,0","110,119,20",-,Comp.
100,"0,ALL",-,"-,OL",-,-,-,Comp.,
101,"0,ALL","23,8","26,OL","38,40,9","38,177,2","110,119,9","184,2",Comp.
102,"0,ALL",-,"-,OL",-,-,-,Comp.,
103,"0,ALL",-,"5,OL","15,17,19","15,167,2","100,111,19",-,TD
104,"0,ALL",-,"-,OL",-,-,-,TD,
105,"0,ALL","1,17","6,OL","13,15,13","13,167,29","109,118,13",-,OOB
106,"0,ALL",-,"-,OL",-,-,-,OOB,
107,"0,ALL","27,13","30,OL","42,44,20","42,207,0","126,137,20","215,0",TD
108,"0,ALL",-,"-,OL",-,-,-,TD,
109,"0,ALL","15,21","18,OL","29,31,14","29,171,11","92,101,14",-,TD
110,"0,ALL",-,"-,OL",-,-,-,TD,
