Video Name:,Power,,,,,,,,,
,"Key Actions (Frame Number, player track id[s])",,,,,,,,,
37,"22,ALL","15,19,17,13,20","21,12,8","4,7,10","2,16,1,7","14,18","6,3,9,5,0",156;16,"156,193;11",Tac
38,"12,ALL","9,17,11,5,10","12,2,NV",-,"1,7,14,8","15,0","NV,3,4,6","222;19,17","222,257;13",Tac
39,"31,ALL","21,19,15,14,3,7","11,10","8,5,0","4,20,7,2","17,16,12","13,6,1,18","105;11,9","105,140;5",Tac
40,"329,ALL","3,8,11,13,1,15","14,NV",-,"7,14,12,0","2,4,17",5,"450;5,14","450,480;19",OOB
41,"70,ALL","5,4,2,17,20,15,12","3,2","8,1","9,19,16,6","10,18,13","7,11,14,0","627;11,13","627,[?];8",OOB
42,"64,ALL","4,15,10,17,0,12,2","7,11","23,NV","3,14,8,15,1","21,19","24,NV,5,20","101;21,4","101,142;17",OOB
43,"27,ALL","21,20,18,8,11","21,13","4,12,0,5","6,3,17","15,9","16,19,14,21,7","106;10,15","106,179;17",OOB
44,"4,ALL","4,7,10,2,6","9,8",-,"5,NV,11","1,3,10",[?],244;18,"244,248;8",OOB
45,"5,ALL","17,21,19,13,7","10,11","0,1,2,3","18,16,6,12","8,9","5,4,15,17,20",162;10,"162,202;2",OOB
46,"25,ALL","11,10,9,2,6","8,NV",-,"4,7,3,5","12,0",1,"126;14,21","126,181;13",TD
47,"47,ALL","21,18,11,22,7","12,13","9,7,2,1","15,17,16,10","19,14","6,4,5,0,3",175;9,"175,243;16",TD
48,"20,ALL","6,12,11,13,5","9,10",-,"3,8,2,0",4,"1,2",198;17,"198,255;22",OOB
49,"54,ALL","22,21,13,23,19","11,10","5,8,1,17","NV,14,18,12","9,7,2","6,4,13,0",91;11,"91,140;13",OOB
50,"35,ALL","13,9,8,11,4","10,12","NV,3","9,7,14,1","3,5","2,0",105;21,"105,134;23",OOB
51,"29,ALL","2,6,5,21,16,18","11,19","4,3,20","0,10,9,8","7,15","7,17,12,11",119;8,"119,154;11",OOB
