Video Name:,Punt Coverage,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,
31,"0,ALL",-,"20,22,7","46,62,7","158,165,41",-,"174,190,21"
32,"0,ALL","9,9","35,37,8","57,80,5","171,178,26",-,"183,210,24"
33,"0,ALL","4,13","34,36,14","53,75,14","194,198,27",-,-
34,"0,ALL",-,"27,29,3","51,70,3","182,191,21",-,-
35,"0,ALL",-,"24,26,13","49,62,13","158,168,33",-,"174,198,12"
36,"0,ALL","15,6","46,48,3","72,88,3","184,192,23",-,"170,224,5"
37,"0,ALL","24,9","50,53,14","80,94,16",-,"229,45","232,285,19"
38,"0,ALL",-,"21,23,18","52,65,18","184,190,22","198,22","184,253,16"
39,"0,ALL","26,12","52,54,18","84,99,18","205,218,38","231,38","251,300,45"
40,"0,ALL","8,5","36,38,6","68,83,6","193,197,19","204,19","246,300,28"
41,"0,ALL","22,19","49,51,16","78,94,16","217,225,40",-,-
42,"0,ALL","1,19","28,31,13","58,73,13","204,207,12",-,-
43,"0,ALL",-,"28,26,4","53,69,4","194,200,21",-,-
44,"0,ALL","5,17","35,37,7","61,73,7","191,198,30","210,30","227,272,28"
45,"0,ALL","21,10","49,51,3","77,90,3","207,211,29","219,29","243,289,18"
46,"0,ALL","16,19","42,44,13","69,84,13","173,194,27",-,-
47,"0,ALL",-,"24,23,7","45,62,7","166,174,26",-,-
48,"11,ALL","20,19","44,49,3","71,85,3","198,208,42","233,42","266,308,2"
49,"0,ALL","8,0","36,38,13","58,74,3","183,192,30","212,30","254,291,28"
50,"0,ALL","1,5","32,34,7","51,72,7","159,171,26","181,26","287,325,6"
51,"0,ALL",-,-,"54,70,4","161,170,35","187,33","287,319,43"
52,"0,ALL",-,-,"46,61,11","139,150,40","164,40","249,255,4"
53,"0,ALL",-,-,"70,85,9","168,175,27","185,27","241,278,15"
54,"0,ALL",-,-,"75,57,14",-,"185,52","304,337,89"
55,"0,ALL",-,-,"63,78,24",-,"205,26","327,359,47"
56,"0,ALL",-,-,"58,73,1","203,209,37",-,"291,318,63"
57,"0,ALL",-,-,"52,66,9","191,200,21",-,"285,311,1"
58,"0,ALL",-,-,"57,70,0","167,198,36","230,36","468,515,?"
59,"0,ALL",-,-,"72,87,0","206,211,26","228,26","477,501,?"
60,"0,ALL",-,-,"42,61,11","147,166,36","181,36","205,232,13"
61,"0,ALL",-,-,"50,68,5","166,173,34","185,34","210,236,19"
62,"0,ALL",-,-,"68,82,13",-,"281,42","261,286,7"
63,"0,ALL",-,-,"54,72,5",-,"238,28","257,280,7"
64,"0,ALL",-,-,"60,72,14","179,188,52",-,"216,254,10"
65,"0,ALL",-,-,"60,80,8","182,192,30","196,30","241,264,38"
66,"0,ALL",-,-,"55,67,17","142,170,41",-,"185,217,11"
67,"0,ALL",-,-,"56,70,6","158,170,29",-,"189,218,28"
68,"0,ALL",-,-,"63,78,10","205,211,4",-,"236,267,9"
69,"0,ALL",-,-,"46,62,12","185,197,24",-,"216,253,15"
70,"0,ALL",-,-,"45,60,4","162,173,42",-,"243,270,8"
71,"0,ALL",-,-,"76,95,4","196,203,20","216,20","238,309,22"
72,"0,ALL",-,-,"73,86,11","205,215,30","227,30","248,274,15"
73,"0,ALL",-,-,"67,82,12","192,205,21","224,21","238,260,6"
74,"0,ALL",-,-,"69,84,7","218,225,35","265,35",-
75,"0,ALL",-,-,"65,82,6","212,220,30","234,30",?
76,"0,ALL",-,-,"87,104,20","214,232,26","258,26","420,450,62"
77,"0,ALL",-,-,"71,86,4","207,243,40","225,40","400,436,7"
78,"0,ALL",-,-,"86,101,10","184,196,30","207,30","250,300,2"
79,"0,ALL",-,-,"74,87,8","157,178,15","187,15","246,292,30"
80,"0,ALL",-,-,"53,66,14","189,197,32","214,32","329,371,13"
81,"0,ALL",-,-,"65,78,7","205,216,31","230,31","343,373,28"
82,"0,ALL",-,-,"67,77,8","178,186,32",-,"207,236,11"
83,"0,ALL",-,-,"61,82,3","174,184,28",-,"192,228,8"
84,"0,ALL",-,-,"86,99,6","178,224,31","228,31","236,264,0"
85,"0,ALL",-,-,"54,70,9","196,193,32","199,32","202,232,15"
86,"0,ALL",-,-,"52,67,4","182,189,58","197,58","305,372,13"
87,"0,ALL",-,-,"47,64,7","175,183,27","207,27","291,369,39"
88,"0,ALL",-,-,"80,94,2","203,219,34","234,34","310,330,16"
89,"0,ALL",-,-,"58,73,6","186,197,23","211,23","250,306,10"
90,"0,ALL",-,-,"59,70,1","191,201,36","223,36","331,356,11"
91,"0,ALL",-,-,"72,85,7","196,206,23","246,23","356,367,group"
92,"0,ALL",-,-,"66,77,17","178,232,32","244,32","241,270,11"
93,"0,ALL",-,-,"57,79,12","166,227,33","234,33","239,270,38"
94,"0,ALL",-,-,"51,67,4","168,180,42","189,42","199,235,9"
95,"0,ALL",-,-,"78,94,13","199,206,31","213,31","249,262,16"
96,"0,ALL",-,-,"48,61,14","163,173,33","182,33","208,240,20"
97,"0,ALL",-,-,"60,75,5","164,182,29","192,29","223,242,37"
98,"0,ALL",-,-,"96,106,11","204,215,30",-,"247,271,39"
99,"0,ALL",-,-,"78,91,11","192,202,31",-,"234,258,31"
100,"0,ALL",-,-,"72,86,14","172,193,40","206,40","234,258,24"
101,"0,ALL",-,-,"59,77,1","168,178,25","182,25","224,248,19"
102,"0,ALL",-,-,"70,84,14","176,196,30","210,30","214,302,2"
103,"0,ALL",-,-,"68,79,9","179,187,23","194,23","285,300,23"
104,"0,ALL",-,-,"48,63,8","135,178,45","157,45","164,229,45"
105,"0,ALL",-,-,"50,69,10","143,152,31","158,31","186,260,?"
106,"0,ALL",-,-,"66,81,2","191,203,35",-,"248,261,0"
107,"0,ALL",-,-,"59,76,2","176,191,27",-,"196,260,24"
108,"0,ALL",-,-,"62,80,10","185,197,35","202,35","264,297,34"
109,"0,ALL",-,-,"37,57,6","145,169,25","174,23","203,227,0"
110,"0,ALL",-,-,"53,68,15","177,191,32","222,32","229,298,28"
111,"0,ALL",-,-,"50,66,0","177,186,7","201,7","224,286,31"
112,"0,ALL",-,-,"64,82,0","177,190,57","193,57","251,284,group"
113,"0,ALL",-,-,"57,77,11","171,183,35","191,35","209,280,43"
114,"0,ALL",-,-,"58,73,18","172,185,33","195,33","185,236,4"
115,"0,ALL",-,-,"54,75,1","171,180,19","188,19","187,264,26"
116,"0,ALL",-,-,"64,80,10","182,196,29","211,29","229,254,?"
117,"0,ALL",-,-,"63,80,4","181,193,26","201,26","225,255,44"
118,"0,ALL",-,-,"66,83,7","184,198,51","206,51","237,261,group"
119,"0,ALL",-,-,"62,78,9","176,193,24","205,24","230,286,28"
