Video Name:,Kickoff Return TD,,,,,
44,"0,ALL","17,15","81,87,15","170,235,2","260,2","?,2"
45,"0,ALL",-,-,-,-,-
46,"0,ALL","82,21","148,153,21","262,266,0","290,0","715,720,8"
47,"0,ALL","16,7","93,97,7","204,218,48","231,48","?,48"
48,"0,ALL","19,11","78,83,11","188,197,41","218,41","653,660,41"
49,"0,ALL","13,5","93,97,5","207,213,37","225,37","?,37"
50,"0,ALL","24,11","112,117,24","225,234,34","243,34","600,?,34"
51,"0,ALL","80,12","141,145,12","198,203,3","211,3","376,385,3"
52,"0,ALL","118,16","167,172,16","217,228,10","242,10","400,411,10"
53,"0,ALL","15,8","86,92,8","201,211,41","248,41","621,630,41"
54,"0,ALL","9,18","99,101,18","210,216,16","235,16","620,630,16"
55,"0,ALL","115,7","174,179,7","283,290,32","310,32","?,32"
56,"0,ALL","117,15","171,176,15","278,288,21","313,21","614,622,21"
57,"0,ALL","4,14","60,63,14","167,178,27","194,27","584,591,27"
58,"0,ALL","4,17","80,85,17","190,198,16","213,16","?,16"
59,"0,ALL","26,6","80,82,6","198,220,37","219,37","595,600,37"
60,"0,ALL","61,3","94,99,3","216,223,29","241,29","613,626,29"
61,"0,ALL","15,7","108,113,7","227,234,27","248,27","600,?,27"
62,"0,ALL","15,17","101,105,17","218,226,20","246,20","594,600,20"
63,"0,ALL","18,8","93,97,8","205,207,39","233,39","630,?,39"
64,"0,ALL","16,18","51,57,18","160,164,11","180,11","583,600,11"
65,"0,ALL","23,9","101,105,9","205,214,42","239,42","616,624,42"
66,"0,ALL","24,8","88,92,8","200,207,21","224,21","?,21"
67,"0,ALL","21,5","101,107,5","200,219,37","250,37","630,?,37"
68,"0,ALL","5,5","79,85,5","185,199,1","228,1","600,?,1"
69,"0,ALL","23,8","58,62,8","177,192,27","221,27","591,597,27"
70,"0,ALL","42,19","89,94,19","212,221,25","241,25","614,622,43"
71,"0,ALL","14,3","55,59,3","173,181,17","190,17","540,?,17"
72,"0,ALL","6,10","33,39,10","152,161,0","175,0","?,0"
73,"0,ALL","40,7","93,97,7","205,211,32","223,32","558,567,32"
74,"0,ALL","6,10","61,65,10","181,195,29","199,29","538,?,29"
75,"6,ALL","86,9","142,149,9","268,275,21","287,21","620,627,21"
76,"0,ALL","19,9","53,57,9","159,166,25","190,25","?,25"
77,"0,ALL","24,14","84,92,14","189,199,9","222,9","575,588,9"
78,"0,ALL","14,5","103,107,5","207,214,34","221,34","528,537,34"
79,"0,ALL","27,15","85,89,15","189,210,6","213,6","507,510,4"
80,"0,ALL","49,13","75,81,13","184,193,27","205,27","?,27"
81,"0,ALL","26,19","70,74,19","181,187,5","199,5","568,?,5"
82,"0,ALL","19,15","101,105,15","212,221,36","239,36","?,36"
83,"0,ALL","73,1","146,151,1","258,267,20","280,20","652,659,20"
84,"0,ALL","8,8","59,64,8","182,192,34","209,34","?,34"
85,"0,ALL","33,15","73,77,15","196,205,21","224,21","565,570,21"
86,"0,ALL","14,11","78,82,11","196,202,36","211,36","?,36"
87,"0,ALL","28,14","98,103,14","218,222,22","235,22","600,?,22"
88,"0,ALL","56,13","133,138,13","249,256,23","266,23","?,23"
89,"0,ALL","40,11","116,122,11","234,242,5","256,5","612,628,5"
90,"0,ALL","64,12","114,119,12","230,234,39","244,39","?,39"
91,"0,ALL","16,7","68,72,7","183,189,42","206,42","588,598,42"
92,"0,ALL","34,9","115,120,9","224,231,28","243,28","594,600,28"
93,"0,ALL","31,7","66,70,7","175,183,2","190,2","538,?,2"
94,"0,ALL","16,12","71,75,12","183,190,47","201,47","?,47"
95,"0,ALL","21,10","61,66,10","168,178,19","192,19","597,?,19"
96,"0,ALL","17,7","59,64,7","172,177,81","189,81","622,630,81"
97,"0,ALL","16,15","82,87,15","197,203,4","211,4","645,659,53"
98,"0,ALL","18,7","67,71,7","194,198,45","215,45","?,45"
99,"0,ALL","54,11","94,99,11","216,227,45","258,45","?,45"
100,"0,ALL","13,5","72,76,5","184,191,36","198,36","?,36"
101,"0,ALL","21,16","86,92,16","200,207,42","217,42","540,?,42"
