Video Name:,QB Zone Read,,,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,,,
96,"0,ALL","10,10","13,OL","21,3","27,3","37,3","52,3",-,76,Tac,InsideZoneRead
97,"0,ALL","2,22","5,OL","11,20","15,20","18,20","40,20",-,77,TD,InsideZoneRead
98,"0,ALL","19,14","22,OL","32,13","35,13","40,13","64,13",-,93,TD,InsideZoneRead
99,"0,ALL","1,[?]","4,OL","13,12","15,12","19,12","39,12",-,78,TD,InsideZoneRead
100,"0,ALL","13,10","16,OL","28,9","30,9","36,9","59,9",-,91,TD,InsideZoneRead
101,"0,ALL","15,18","18,OL","34,16","39,16","46,16","70,16","44,17",111,OOB,InsideZoneRead
102,"0,ALL","1,16","4,OL","19,12","22,12","31,12","54,12","28,5",85,OOB,InsideZoneRead
103,"0,ALL","16,20","19,OL","26,8","33,8","44,8","61,8",-,93,Tac,InsideZoneRead
104,"0,ALL","5,9","8,OL","19,6","26,6","36,6","59,6",-,96,Tac,InsideZoneRead
105,"0,ALL","16,20","19,OL","28,10","34,10","47,10","70,10","43,16",84,Tac,OutsideZoneRead
106,"0,ALL","1,3","4,OL","10,12","15,12","27,12","47,12","20,8",81,Tac,OutsideZoneRead
107,"0,ALL","14,19","17,OL","27,22","32,22","39,22","62,22",-,96,Tac,InsideZoneRead
108,"13,ALL","58,2","61,OL","74,10","77,10","88,10","114,10",-,140,Tac,InsideZoneRead
109,"0,ALL","35,18","38,OL","48,19","52,19","56,19","77,19",-,99,Tac,OutsideZoneRead
110,"0,ALL","29,8","31,OL","44,11","48,11","55,11","71,11",-,87,Tac,OutsideZoneRead
111,"0,ALL","18,21","21,OL","33,6","38,6","47,6","67,6",-,102,Tac,InsideZoneRead
112,"0,ALL","1,16","4,OL","11,12","16,12","23,12","49,12",-,64,Tac,InsideZoneRead
113,"0,ALL","73,21","76,OL","87,15","95,15","102,15","122,15","107,16",149,Tac,InsideZoneRead
114,"0,ALL","9,14","12,OL","23,13","28,13","38,13","58,13","38,3",80,Tac,InsideZoneRead
115,"0,ALL","78,21","81,OL","93,18","98,18","111,18","126,18","107,22",148,OOB,InsideZoneRead
116,"0,ALL","21,15","24,OL","35,9","46,9","56,9","70,9","55,7",101,OOB,InsideZoneRead
117,"0,ALL","4,21","7,OL","19,20","25,20","36,20","50,20",-,70,Tac,InsideZoneRead
118,"0,ALL","8,15","11,OL","20,9","24,9","37,9","56,9",-,77,Tac,InsideZoneRead
119,"0,ALL","14,18","17,OL","26,7","31,7","39,7","58,7","49,19",87,OOB,InsideZoneRead
120,"0,ALL","1,13","4,OL","10,4","15,4","23,4","44,4","20,6",78,OOB,InsideZoneRead
121,"0,ALL","26,22","29,OL","37,13","40,13","48,13","63,13",-,93,Tac,InsideZoneRead
122,"0,ALL","21,10","24,OL","32,3","36,3","45,3","67,3",-,99,Tac,InsideZoneRead
123,"0,ALL","28,19","31,OL","41,17","46,17","55,17","72,17",-,103,OOB,InsideZoneRead
124,"0,ALL","1,11","4,OL","12,13","20,13","26,13","40,13",-,55,OOB,InsideZoneRead
125,"0,ALL","24,19","27,OL","37,17","41,17","53,17","66,17",-,124,OOB,InsideZoneRead
126,"0,ALL","73,14","76,OL","85,12","91,12","100,12","117,12",-,161,OOB,InsideZoneRead
127,"0,ALL","2,18","5,OL","14,15","19,15","23,15","43,15",-,64,OOB,OutsideZoneRead
128,"0,ALL","9,14","12,OL","19,9","25,9","29,9","51,9",-,69,OOB,OutsideZoneRead
129,"0,ALL","28,19","31,OL","40,20","45,20","48,20","67,20",-,95,OOB,InsideZoneRead
130,"0,ALL","58,12","61,OL","69,15","73,15","84,15","100,15",-,122,OOB,InsideZoneRead
131,"0,ALL","29,14","32,OL","47,16","51,16","62,16","80,16",-,105,Tac,Counter
132,"0,ALL","26,10","29,OL","45,8","52,8","56,8","80,8",-,106,Tac,Counter
133,"2,ALL","29,21","32,OL","40,5","47,5","62,5","76,5","48,1",110,Tac,InsideZoneRead
134,"0,ALL","25,10","28,OL","37,3","43,3","55,3","71,3","43,15",90,Tac,InsideZoneRead
135,"0,ALL","21,22","24,OL","33,7","39,7","48,7","69,7","46,14",102,Tac,InsideZoneRead
136,"0,ALL","24,13","27,OL","36,10","41,10","48,10","70,10","47,6",104,Tac,InsideZoneRead
137,"0,ALL","3,22","6,OL","14,5","20,5","30,5","48,5","31,9",81,Tac,InsideZoneRead
138,"0,ALL","18,11","21,OL","27,14","30,14","37,14","65,14","35,4",113,Tac,InsideZoneRead
139,"0,ALL","4,11","7,OL","17,10","22,10","26,10","44,10",-,83,Tac,OutsideZoneRead
140,"0,ALL","25,8","28,OL","35,3","41,3","49,3","64,3",-,99,Tac,OutsideZoneRead
141,"0,ALL","6,21","8,OL","23,7","26,7","31,7","42,7",-,72,TD,InsideZoneRead
142,"0,ALL","20,9","23,OL","40,8","45,8","51,8","61,8",-,76,TD,InsideZoneRead
143,"0,ALL","6,20","9,OL","20,15","29,15","33,15","64,15",-,86,Tac,InsideZoneRead
144,"0,ALL","11,4","14,OL","25,8","28,8","36,8","69,8",-,86,Tac,InsideZoneRead
145,"0,ALL","8,21","11,OL","25,14","29,14","36,14","60,14",-,104,Tac,InsideZoneRead
146,"0,ALL","18,8","21,OL","34,6","38,6","43,6","67,6",-,97,Tac,InsideZoneRead
147,"0,ALL","4,13","7,OL","21,11","24,11","32,11","51,11","30,23",96,OOB,OutsideZoneRead
148,"0,ALL","7,6","10,OL","23,4","29,4","34,4","54,4","26,2",90,OOB,OutsideZoneRead
149,"0,ALL","13,19","16,OL","27,6","32,6","38,6","59,6","38,20",89,OOB,InsideZoneRead
150,"0,ALL","19,7","22,OL","32,5","40,5","45,5","66,5","39,1",96,OOB,InsideZoneRead
151,"0,ALL","1,22","4,OL","15,11","22,11","28,11","50,11","21,8",85,TD,InsideZoneRead
152,"0,ALL","16,12","19,OL","29,8","40,8","44,8","66,8",-,86,TD,InsideZoneRead
153,"0,ALL","19,","23,OL","29,16","36,16","44,16","63,16",-,125,Tac,OutsideZoneRead
154,"0,ALL","4,12","7,OL","19,3","23,3","30,3","55,3",-,97,Tac,OutsideZoneRead
155,"0,ALL","13,14","16,OL","28,12","33,12","44,12","69,12",-,100,TD,InsideZoneRead
156,"0,ALL","22,14","25,OL","36,3","42,3","52,3","78,3",-,103,TD,InsideZoneRead
157,"0,ALL","1,20","4,OL","15,21","19,21","28,21","54,21",-,82,Tac,InsideZoneRead
158,"0,ALL","16,8","19,OL","30,13","33,13","39,13","70,13",-,92,Tac,InsideZoneRead
159,"0,ALL","3,22","6,OL","18,6","24,6","29,6","49,6",-,91,Tac,InsideZoneRead
160,"0,ALL","24,9","27,OL","39,12","43,12","49,12","77,12",-,100,Tac,InsideZoneRead
161,"0,ALL","22,19","25,OL","32,11","41,11","47,11","71,11",-,104,OOB,InsideZoneRead
162,"0,ALL","19,13","21,OL","31,8","35,8","41,8","70,8",-,105,OOB,InsideZoneRead
163,"0,ALL","17,14","20,OL","30,9","35,9","43,9","62,9",-,104,OOB,InsideZoneRead
164,"0,ALL","24,11","27,OL","38,15","45,15","50,15","72,15",-,102,OOB,InsideZoneRead
165,"0,ALL","26,12","29,OL","39,9","47,9","54,9","68,9",-,86,Tac,InsideZoneRead
166,"0,ALL","16,14","19,OL","30,7","36,7","42,7","61,7","48,12",88,Tac,InsideZoneRead
167,"0,ALL","22,16","25,OL","35,10","39,10","48,10","74,10",-,108,Tac,InsideZoneRead
168,"0,ALL","26,12","29,OL","40,13","44,13","50,13","79,13",-,101,Tac,InsideZoneRead
169,"0,ALL","10,7","13,OL","24,11","29,11","38,11","61,11",-,83,Tac,InsideZoneRead
170,"0,ALL","1,12","4,OL","15,11","20,11","26,11","52,11",-,82,Tac,InsideZoneRead
171,"0,ALL","13,11","16,OL","27,15","30,15","36,15","58,15","45,14",77,OOB,InsideZoneRead
172,"0,ALL","21,9","24,OL","37,13","41,13","46,13","69,13",-,97,OOB,InsideZoneRead
173,"0,ALL","24,18","27,OL","39,12","44,12","49,12","67,12",-,90,OOB,InsideZoneRead
174,"0,ALL","31,14","34,OL","39,13","44,13","52,13","71,13",-,87,OOB,InsideZoneRead
175,"0,ALL","5,14","8,OL","18,13","23,13","29,13","59,13","53,10",91,Tac,InsideZoneRead
176,"0,ALL","3,11","6,OL","18,12","21,12","27,12","59,12","32,11",77,Tac,InsideZoneRead
177,"0,ALL","17,20","20,OL","30,13","36,13","44,13","70,13",-,105,Tac,InsideZoneRead
178,"0,ALL","5,14","8,OL","19,11","24,11","31,11","58,11","32,5",81,Tac,InsideZoneRead
179,"0,ALL","19,17","22,OL","32,16","41,16","47,16","65,16",-,86,Tac,OutsideZoneRead
180,"0,ALL","7,10","10,OL","20,5","25,5","30,5","52,5","40,7",75,Tac,OutsideZoneRead
181,"0,ALL","5,14","8,OL","19,13","24,13","31,13","58,13",-,91,Tac,InsideZoneRead
182,"0,ALL","11,11","14,OL","25,10","29,10","35,10","55,10","36,11",76,Tac,InsideZoneRead
183,"0,ALL","25,22","28,OL","38,17","44,17","49,17","63,17",-,79,TD,InsideZoneRead
184,"0,ALL","21,2","24,OL","35,9","39,9","45,9","59,9","45,5",81,TD,InsideZoneRead
185,"0,ALL","3,6","6,OL","15,15","22,15","25,15","55,15","32,22",111,Tac,OutsideZoneRead
186,"0,ALL","5,13","8,OL","19,6","23,6","34,6","59,6","33,10",113,Tac,OutsideZoneRead
187,"0,ALL","8,11","11,OL","23,15","31,15","42,15","58,15",-,105,Tac,OutsideZoneRead
188,"0,ALL","20,14","23,OL","34,10","39,10","51,10","68,10",-,108,Tac,OutsideZoneRead
189,"0,ALL","12,10","15,OL","28,12","31,12","38,12","63,12",-,111,Tac,OutsideZoneRead
190,"0,ALL","6,5","8,OL","24,9","27,9","33,9","52,9","65,5",105,Tac,OutsideZoneRead
191,"0,ALL","5,14","8,OL","20,12","24,12","33,12","47,12",-,66,Tac,OutsideZoneRead
192,"0,ALL","2,12","5,OL","19,15","21,15","26,15","46,15","17,14",75,Tac,OutsideZoneRead
193,"0,ALL","18,21","21,OL","37,16","40,16","42,16","56,16",-,104,Tac,OutsideZoneRead
194,"0,ALL","28,13","31,OL","40,9","52,9","57,9","68,9",-,118,Tac,OutsideZoneRead
195,"0,ALL","25,12","28,OL","41,20","46,20","57,20","72,20",-,110,Tac,InsideZoneRead
196,"0,ALL","3,15","6,OL","19,10","23,10","32,10","52,10",-,81,Tac,InsideZoneRead
197,"0,ALL","17,20","20,OL","34,19","39,19","47,19","70,19",-,109,OOB,InsideZoneRead
198,"0,ALL","8,15","11,OL","23,9","28,9","38,9","61,9",-,89,OOB,InsideZoneRead
