Video Name:,Duo,,,,,,,,
,"Key Actions (Frame Number, player track id[s])",,,,,,,,
114,"0,ALL",-,-,-,"464,20;28",-,-,613,Tac
115,"0,ALL",-,-,-,"137,5;6",-,-,194,Tac
116,"0,ALL",-,-,-,"114,10;21",-,-,165,Tac
117,"0,ALL",-,-,-,"86,12;17",-,-,125,Tac
118,"0,ALL",-,-,-,"158,19;11;15;17",-,"190,17",211,Tac
119,"0,ALL",-,-,-,"65,19;12;15;11",-,"101,12;11",136,Tac
120,"0,ALL",-,-,-,"99,19;5;20;15",-,-,131,Tac
121,"0,ALL",-,-,-,"125,4;2;0;1",-,-,176,Tac
122,"0,ALL",-,-,-,"171,21;15;17;18",-,-,222,Tac
123,"0,ALL",-,-,-,"122,9;19;5;4",-,-,172,Tac
124,"0,ALL",-,-,-,"171,18;15;21;17",-,-,206,Tac
125,"0,ALL",-,-,-,"121,11;27;12;10",-,"168,19",158,Tac
126,"0,ALL",-,-,-,-,-,?,?,?
127,"0,ALL",-,-,-,"181,20;7;21;15",-,"207,17",241,Tac
128,"23,ALL",-,-,-,"209,16;34;12;8",-,"234,12",259,Tac
129,"0,ALL",-,-,-,"188,15;20;18;21",-,-,238,Tac
130,"0,ALL",-,-,-,"154,7;17;9;4",-,-,218,Tac
131,"0,ALL",-,-,-,"80,19;21;17;4",-,-,129,Tac
132,"0,ALL",-,-,-,"68,3;13;18;2",-,-,130,Tac
133,"0,ALL",-,-,-,"197,18;17;20;21",-,"211,18",257,Tac
134,"0,ALL",-,-,-,"291,15;11;18;12",-,"265,18",311,Tac
135,"0,ALL",-,-,-,"136,17;15;21;15",-,-,177,Tac
136,"0,ALL",-,-,-,"170,9;3;13;14",-,-,214,Tac
137,"0,ALL",-,-,-,"86,13;5;21;4",-,"119,7",151,OOB
138,"0,ALL",-,-,-,"59,3;11;17;11",-,"84,9",122,OOB
139,"0,ALL",-,-,-,"105,18;16;20;8",-,-,150,Tac
140,"0,ALL",-,-,-,"107,6;0;10;2",-,"117,0",157,Tac
141,"0,ALL",-,-,-,"125,19;21;20;14",-,-,171,Tac
142,"0,ALL",-,-,-,"109,3;0;6;1",-,-,175,Tac
143,"0,ALL",-,-,-,"99,10;18;21",-,"121,21",152,Tac
144,"0,ALL",-,-,-,"80,3;7;9;12",-,"101,7",130,Tac
145,"0,ALL",-,-,-,"100,3;17;15;18",-,"115,3",133,Tac
146,"0,ALL",-,-,-,"82,7;12;18;5",-,"94,5;12",124,Tac
147,"0,ALL",-,-,-,"96,19;20;21;15",-,"120,15",150,Tac
148,"0,ALL",-,-,-,"87,13;7;11;8",-,"112,17",148,Tac
149,"0,ALL",-,-,-,"131,18;17;15;20",-,-,164,Tac
150,"0,ALL",-,-,-,"111,8;15;2;?",-,"151,24",175,Tac
151,"0,ALL",-,-,-,"230,16;19;18;17",-,-,285,Tac
152,"0,ALL",-,-,-,"85,13;9;17;19",-,-,143,Tac
153,"0,ALL",-,-,-,"115,20;14;18;19",-,-,164,Tac
154,"0,ALL",-,-,-,"82,13;10;8;14",-,-,138,Tac
155,"0,ALL",-,-,-,"103,9;17;24;19",-,-,167,Tac
156,"0,ALL",-,-,-,"214,11;15;14;3",-,-,264,Tac
157,"0,ALL",-,-,-,"112,20;17;18;19",-,-,122,TD
158,"0,ALL",-,-,-,"178,10;17;18;16",-,-,227,TD
159,"0,ALL",-,-,-,"99,9;21;10;18",-,-,158,Tac
160,"0,ALL",-,-,-,"77,11;10;13;19",-,-,138,Tac
161,"0,ALL",-,-,-,"39,17;20;19;14",-,-,88,Tac
162,"0,ALL",-,-,-,"97,8;15;4;7",-,-,80,Tac
163,"0,ALL",-,-,-,"152,20;21;15;16",-,-,201,Tac
164,"0,ALL",-,-,-,"187,13;2;10;6",-,-,252,Tac
165,"0,ALL",-,-,-,"101,15;20;21;18",-,"114,18",153,Tac
166,"0,ALL",-,-,-,"96,16;5;6;13",-,"106,5",141,Tac
167,"0,ALL",-,-,-,"65,14;16;17;21",-,"91,23",122,Tac
168,"0,ALL",-,-,-,"70,12;9;15;7",-,"94,9",118,Tac
169,"0,ALL",-,-,-,-,-,-,-,OOB
170,"0,ALL",-,-,-,"101,7;2",-,"101,12;7",150,OOB
171,"0,ALL",-,-,-,"175,[?]",-,"175,25",228,Tac
172,"0,ALL",-,-,-,"144,0;12",-,"144,24",189,Tac
173,"0,ALL",-,-,-,"130,16;22",-,-,179,Tac
174,"0,ALL",-,-,-,"127,11;5",-,-,174,Tac
175,"0,ALL",-,-,-,"112,13;9;23;2",-,-,177,Tac
176,"13,ALL",-,-,-,"188,6;8;31;23",-,-,260,Tac
177,"0,ALL",-,-,-,?,-,-,239,Tac
178,"7,ALL",-,-,-,"152,9;8;22;14",-,-,205,Tac
179,"0,ALL",-,-,-,"34,14;15;18;12",-,-,72,TD
180,"4,ALL",-,-,-,"51,16;19;24;4",-,-,81,TD
181,"0,ALL",-,-,-,"85,15;17;11;10",-,-,115,TD
182,"0,ALL",-,-,-,"20,18;20;21;16",-,"28,16",62,Tac
183,"0,ALL",-,-,-,"75,3;12;8;11",-,"87,5",109,Tac
184,"0,ALL",-,-,-,"86,8;11;13;10",-,"86,4",122,Tac
185,"0,ALL",-,-,-,"114,12;23;16;29",-,?,161,Tac
186,"0,ALL",-,-,-,"77,15;2;20;10",-,"76,1",109,Tac
187,"0,ALL",-,-,-,"80,7;8;17;5",-,"77,8",122,Tac
188,"0,ALL",-,-,-,"116,21;14;22;19",-,"197,21;27",231,Tac
189,"0,ALL",-,-,-,"163,10;15;19;2",-,"163,9",205,Tac
190,"0,ALL",-,-,-,"119,12;21",-,"139,21;7",174,Tac
191,"0,ALL",-,-,-,"84,19;21",-,?,143,TD
192,"0,ALL",-,-,-,"132,16;18",-,"143,18",169,TD
193,"0,ALL",-,-,-,"55,4;?",-,"62,?",98,TD
194,"0,ALL",-,-,-,"108,18;21;14;20",-,"120,18",145,Tac
195,"0,ALL",-,-,-,"94,18;11;17;16",-,"107,17",145,Tac
196,"0,ALL",-,-,-,"152,4;6;10;21",-,-,189,Tac
197,"0,ALL",-,-,-,"270,12;17;7;9",-,"280,3",320,Tac
198,"0,ALL",-,-,-,"279,10;25;21",-,"299,20",327,Tac
199,"0,ALL",-,-,-,"257,27;10;17;9",-,"264,10",294,Tac
200,"0,ALL",-,-,-,"84,17;14;20;19",-,-,124,Tac
201,"0,ALL",-,-,-,"58,7;12;11;10",-,"80,10",89,Tac
202,"0,ALL",-,-,-,"63,13;3;15;12",-,"85,13",109,Tac
203,"0,ALL",-,-,-,"117,21;7;18;14",-,"118,14",139,Tac
204,"0,ALL",-,-,-,"169,14;11;12;13",-,"175,11",197,Tac
205,"0,ALL",-,-,-,"82,7;15;11;6",-,"82,5",119,Tac
206,"0,ALL",-,-,-,"45,18;20;15;14",-,-,73,Tac
207,"24,ALL",-,-,-,"47,21;7;4;16",-,"59,16",93,Tac
208,"3,ALL",-,-,-,"57,7;4;8;6",-,"70,8",100,Tac
209,"0,ALL",-,-,-,-,-,-,-,-
210,"0,ALL",-,-,-,-,-,-,-,-
211,"0,ALL",-,-,-,-,-,-,-,-
212,"0,ALL",-,-,-,"89,15;22;8;3",-,?,112,TD
213,"0,ALL",-,-,-,"73,3;11;9",-,"66,19",86,TD
214,"0,ALL",-,-,-,"37,17;13;16;11",-,"58,17",81,TD
215,"0,ALL",-,-,-,-,-,-,-,Tac
216,"17,ALL",-,-,-,"252,30;8",-,-,285,Tac
217,"4,ALL",-,-,-,"212,14;3",-,-,244,Tac
218,"0,ALL",-,-,-,"57,12;22;19",-,"64,14",90,Tac
219,"5,ALL",-,-,-,"45,17;1;18;19",-,"54,13",80,Tac
220,"0,ALL",-,-,-,"33,15;13;16;20",-,"49,11",68,Tac
221,"0,ALL",-,-,-,-,-,-,-,-
222,"0,ALL",-,-,-,-,-,-,-,-
223,"0,ALL",-,-,-,"192,28;29;24;15",-,-,244,Tac
224,"0,ALL",-,-,-,"124,17;6;8;22",-,-,177,Tac
225,"0,ALL",-,-,-,"123,6;16;10;4",-,-,169,Tac
226,"0,ALL",-,-,-,-,-,-,-,-
227,"0,ALL",-,-,-,-,-,-,-,-
228,"0,ALL",-,-,-,-,-,-,-,-
229,"0,ALL",-,-,-,-,-,-,-,-
230,"0,ALL",-,-,-,-,-,-,-,-
231,"0,ALL",-,-,-,-,-,-,-,-
232,"0,ALL",-,-,-,"126,2;9;11;11",-,-,222,Tac
233,"0,ALL",-,-,-,-,-,-,-,-
234,"0,ALL",-,-,-,"104,8;11;6;3",-,"121,3",163,Tac
235,"0,ALL",-,-,-,"132,4;21;2;5",-,"148,4",209,Tac
236,"0,ALL",-,-,-,"136,2;22;10;3",-,"164,22",207,Tac
237,"0,ALL",-,-,-,-,-,-,-,-
238,"0,ALL",-,-,-,"215,7;6;13;4",-,-,266,Tac
239,"0,ALL",-,-,-,"275,9;15;4;12",-,"301,4",340,Tac
240,"0,ALL",-,-,-,"119,4;17;14;5",-,"149,17;14",184,Tac
241,"0,ALL",-,-,-,"128,4;10;16;13",-,"182,16;22",175,Tac
242,"0,ALL",-,-,-,"127,10;12;9;1",-,-,201,Tac
