Video Name:,Punt Return Touchdown,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,
37,"0,ALL","26,13","58,7","84,97,7","206,214,28","285,28","588,596,28"
38,"0,ALL","27,10","59,6","87,98,6","209,215,2","226,2","588,595,87"
39,"0,ALL","180,3","209,1","233,241,1",-,-,-
40,"0,ALL",-,-,-,-,-,-
41,"0,ALL","198,12","229,11","253,263,11","387,394,64","443,70","?,70"
42,"16,ALL","23,11","54,20","?,20","211,230,0","238,0","?,87"
43,"0,ALL","85,18","111,3","139,150,3","254,261,56","280,56","510,?,56"
44,"0,ALL","38,3","66,12","72,106,12","210,217,31","224,31","460,474,14"
45,"0,ALL","60,12","84,0","111,119,0","202,209,29","226,25","?,25"
46,"0,ALL","26,1","51,8","77,88,8","165,177,34","185,34","477,?,11"
47,"0,ALL","52,16","85,30","111,119,30","241,249,2","271,2","?,2"
48,"2,ALL","33,8","68,12","92,102,12","223,232,23","245,23","530,540,23"
49,"0,ALL","85,13","117,12","141,154,12","256,262,40","275,40","588,600,77"
50,"0,ALL","48,2","78,16","102,117,6","217,227,24","235,24","560,568,61"
51,"0,ALL","62,6","91,12","112,124,12",-,-,-
52,"0,ALL",-,-,-,-,-,-
53,"0,ALL","58,16","79,2","106,117,2","174,185,23","205,23","369,378,19"
54,"23,ALL","46,16","68,1","94,109,1","167,174,19","203,19","?,19"
55,"0,ALL","49,18","73,77,4","124,138,4","220,233,39","245,34","446,476,34"
56,"0,ALL","28,1","51,58,12","104,116,12","202,208,22","218,22","?,22"
57,"0,ALL","3,13","30,38,11","65,75,11","194,200,37","211,37","?,37"
58,"0,ALL","20,8","47,54,9","80,94,9","203,218,41","227,41","?,41"
59,"0,ALL","116,18","145,148,21","170,185,21","264,272,32","287,32","?,32"
60,"3,ALL","77,9","106,110,6","133,144,6","225,239,41","251,41","501,508,125"
61,"0,ALL","76,14","100,107,20","130,146,20","259,271,33","298,33","?,61"
62,"0,ALL","41,3","63,72,6","89,112,6","224,233,28","253,28","?,60"
63,"0,ALL","36,11","64,74,17","91,106,17","221,228,41","258,41","?,9"
64,"0,ALL","34,3","61,74,10","91,106,10","218,221,31","238,31","?,31"
65,"0,ALL","29,10","56,61,4","92,107,4","222,233,40","278,40","?,49"
66,"0,ALL","26,0","63,66,5","93,112,5","234,245,23","264,23","?,52"
67,"0,ALL","50,13","78,84,15","99,115,15","218,221,34","241,34","565,570,34"
68,"23,ALL","93,7","116,120,1","140,155,1","254,267,13","276,13","?,48"
69,"9,ALL","27,16","52,58,1","79,90,1","203,208,26","244,26","?,60"
70,"0,ALL","11,9","37,41,12","58,74,12","176,192,8","226,8","?,8"
71,"0,ALL","110,7","141,146,8","166,182,8","303,315,60","326,60","?,60"
72,"0,ALL","36,9","66,70,6","90,107,6","235,245,13","255,13","511,600,54"
73,"0,ALL","43,15","75,80,2","84,114,2","227,238,56","270,56","627,630,56"
74,"0,ALL","45,8","75,80,12","99,113,12","226,236,33","252,33","?,77"
75,"0,ALL","8,17","34,39,2","61,76,2","192,200,32","216,32","585,596,91"
76,"0,ALL","11,10","38,41,1","63,81,1","184,202,20","216,20","573,609,49"
77,"0,ALL","97,13","127,132,15","148,167,15",-,-,-
78,"0,ALL","65,17","95,99,11","116,136,11",-,-,-
79,"0,ALL","52,19","77,84,12","101,112,12","233,241,51","271,51","?,51"
80,"0,ALL","70,4","100,104,16","120,134,16","242,254,29","?,29","?,29"
81,"0,ALL","64,22","90,94,14","119,136,14","268,274,46","291,46","593,600,7"
82,"0,ALL","16,3","45,49,10","74,91,10","220,224,2","248,2","?,2"
83,"0,ALL","45,12","70,77,16","101,116,16","233,244,32","266,32","?,32"
84,"0,ALL","25,7","49,52,2","84,94,2","211,220,21","255,21","637,645,72"
85,"0,ALL","30,16","59,63,6","89,101,6","202,217,32","273,32","609,619,44"
86,"0,ALL","39,21","64,70,15","95,106,15","216,225,29","236,29","610,624,49"
87,"0,ALL","68,18","95,100,7","127,140,7","229,250,38","262,38","?,43"
88,"0,ALL","26,0","58,63,5","86,102,5","188,205,23","228,23","531,546,23"
89,"0,ALL","36,19","61,65,8","86,104,8","189,211,31","226,31","631,643,62"
90,"0,ALL","50,6","74,77,7","101,115,7","215,224,26","242,26","645,656,45"
91,"0,ALL","82,16","112,115,11","133,146,11",-,"310,52","?,52"
92,"0,ALL","108,10","135,138,2","158,170,2","262,268,37","285,37","623,630,42"
93,"0,ALL","98,20","126,129,6","155,164,6","247,274,27","284,27","564,570,7"
94,"0,ALL","78,0","107,110,9","133,152,9","234,248,23","261,23","?,43"
95,"0,ALL","39,17","66,69,7","94,107,7","213,223,48","230,48","?,48"
96,"0,ALL","112,1","159,142,7","168,182,7","286,276,31","318,31","541,600,5"
97,"0,ALL","13,14","40,45,11","67,80,11",-,"228,40","613,624,70"
98,"0,ALL","17,1","42,44,5","70,83,5","206,213,15","232,15","616,623,34"
99,"0,ALL","81,9","76,81,14","101,119,14","239,254,36","268,36","?,13"
100,"0,ALL","50,8","78,81,8","108,121,8","222,251,37","278,37","?,42"
101,"8,ALL","23,8","47,50,7","72,88,7","206,213,68","228,68","600,618,109"
102,"0,ALL","30,6","57,60,18","83,99,18","215,221,23","230,23","620,626,1"
103,"0,ALL","45,1","76,80,7","101,114,7",-,-,"343,352,21"
104,"0,ALL","1,8","33,36,6","57,73,6",-,-,"298,300,16"
105,"0,ALL","33,10","63,76,0","97,104,0","224,236,41","245,41","624,632,1"
106,"0,ALL","13,5","38,42,2","70,84,2","191,207,10","226,10",?
