Video Name:,Draw,,,,,,,,
,"Key Actions (Frame Number, player track id)",,,,,,,,
81,"0,ALL","33,7","36,OL","46,15","50,15","68,15","82,22",134,OOB
82,"0,ALL","39,21","42,OL","55,19","59,19",-,"91,19",119,Tac
83,"0,ALL","3,12","6,OL","19,8","22,8",-,"50,8",90,Tac
84,"0,ALL","3,21","6,OL","16,20","23,20",-,"54,20",132,Tac
85,"0,ALL","32,11","35,OL","45,10","49,10",-,"86,10",155,Tac
86,"0,ALL","22,22","25,OL","36,10","45,10",-,"71,10",132,TD
87,"0,ALL","26,14","29,OL","39,12","41,12",-,"79,12",138,TD
88,"0,ALL","32,18","35,OL","48,13","53,13",-,"74,13",107,Tac
89,"0,ALL","32,14","35,OL","47,5","53,5",-,"69,5",99,Tac
90,"0,ALL","29,19","32,OL","43,11","45,11",-,"71,11",122,OOB
91,"0,ALL","32,9","35,OL","47,7","50,7",-,"74,7",122,OOB
92,"0,ALL","43,21","46,OL","57,18","62,18",-,"95,18",145,TD
93,"0,ALL","32,12","35,OL","48,9","55,9",-,"79,9",145,TD
94,"0,ALL","31,16","34,OL","44,19","49,19",-,"81,19",108,TD
95,"0,ALL","19,15","22,OL","35,11","39,11",-,"77,11",101,TD
96,"0,ALL","29,21","32,OL","42,16","46,16",-,"87,16",120,TD
97,"0,ALL","40,4","43,OL","50,7","60,7",-,"99,7",136,TD
